cluster,label,count,cluster_total,p_label_given_cluster
0,counter_clockwise,55,107,0.514018691588785
0,underhand_right,25,107,0.2336448598130841
0,clockwise,7,107,0.06542056074766354
0,idle,7,107,0.06542056074766354
0,dragon_roll,6,107,0.056074766355140186
0,sneak_underhand,3,107,0.028037383177570093
0,overhand_left,2,107,0.018691588785046728
0,sneak_overhand,1,107,0.009345794392523364
0,sneak_underhand_left,1,107,0.009345794392523364
1,underhand_right,45,131,0.3435114503816794
1,overhand_left,31,131,0.2366412213740458
1,clockwise,21,131,0.16030534351145037
1,dragon_roll,15,131,0.11450381679389313
1,sneak_underhand,6,131,0.04580152671755725
1,sneak_overhand,5,131,0.03816793893129771
1,idle,4,131,0.030534351145038167
1,sneak_underhand_left,3,131,0.022900763358778626
1,counter_clockwise,1,131,0.007633587786259542
2,counter_clockwise,59,157,0.37579617834394907
2,sneak_overhand_left,23,157,0.1464968152866242
2,sneak_underhand_right,14,157,0.08917197452229299
2,overhand_left,13,157,0.08280254777070063
2,dragon_roll,11,157,0.07006369426751592
2,overhand_right,11,157,0.07006369426751592
2,underhand_left,10,157,0.06369426751592357
2,underhand_right,7,157,0.044585987261146494
2,idle,5,157,0.03184713375796178
2,sneak_overhand,2,157,0.012738853503184714
2,clockwise,1,157,0.006369426751592357
2,idle or ol?,1,157,0.006369426751592357
3,dragon_roll,37,104,0.3557692307692308
3,overhand_left,19,104,0.18269230769230768
3,sneak_underhand_left,18,104,0.17307692307692307
3,overhand_right,12,104,0.11538461538461539
3,underhand_right,6,104,0.057692307692307696
3,sneak_underhand_right,5,104,0.04807692307692308
3,sneak_underhand,3,104,0.028846153846153848
3,clockwise,2,104,0.019230769230769232
3,counter_clockwise,1,104,0.009615384615384616
3,ur cw,1,104,0.009615384615384616
4,clockwise,38,156,0.24358974358974358
4,underhand_right,34,156,0.21794871794871795
4,dragon_roll,25,156,0.16025641025641027
4,overhand_left,21,156,0.1346153846153846
4,overhand_right,16,156,0.10256410256410256
4,sneak_underhand,5,156,0.03205128205128205
4,ur cw,5,156,0.03205128205128205
4,sneak_overhand_right,4,156,0.02564102564102564
4,sneak_underhand_right,4,156,0.02564102564102564
4,sneak_overhand,3,156,0.019230769230769232
4,idle,1,156,0.00641025641025641
5,counter_clockwise,35,115,0.30434782608695654
5,overhand_left,25,115,0.21739130434782608
5,overhand_right,15,115,0.13043478260869565
5,dragon_roll,10,115,0.08695652173913043
5,sneak_overhand,10,115,0.08695652173913043
5,idle,5,115,0.043478260869565216
5,clockwise,4,115,0.034782608695652174
5,underhand_left,3,115,0.02608695652173913
5,underhand_right,3,115,0.02608695652173913
5,sneak_underhand_left,2,115,0.017391304347826087
5,or osl,1,115,0.008695652173913044
5,sneak_overhand_left,1,115,0.008695652173913044
5,sneak_overhand_right,1,115,0.008695652173913044
6,idle,16,53,0.3018867924528302
6,counter_clockwise,8,53,0.1509433962264151
6,dragon_roll,7,53,0.1320754716981132
6,overhand_left,6,53,0.11320754716981132
6,sneak_underhand,4,53,0.07547169811320754
6,underhand_left,3,53,0.05660377358490566
6,underhand_right,3,53,0.05660377358490566
6,overhand_right,2,53,0.03773584905660377
6,sneak_overhand_right,2,53,0.03773584905660377
6,clockwise,1,53,0.018867924528301886
6,vq,1,53,0.018867924528301886
7,overhand_left,92,150,0.6133333333333333
7,counter_clockwise,48,150,0.32
7,dragon_roll,5,150,0.03333333333333333
7,sneak_overhand_right,2,150,0.013333333333333334
7,idle,1,150,0.006666666666666667
7,sneak_overhand,1,150,0.006666666666666667
7,sneak_underhand,1,150,0.006666666666666667
8,sneak_underhand_right,32,65,0.49230769230769234
8,dragon_roll,14,65,0.2153846153846154
8,counter_clockwise,9,65,0.13846153846153847
8,clockwise,4,65,0.06153846153846154
8,sneak_underhand,3,65,0.046153846153846156
8,idle,2,65,0.03076923076923077
8,overhand_left,1,65,0.015384615384615385
9,underhand_right,41,107,0.38317757009345793
9,clockwise,39,107,0.3644859813084112
9,idle,6,107,0.056074766355140186
9,counter_clockwise,5,107,0.04672897196261682
9,sneak_underhand,5,107,0.04672897196261682
9,sneak_overhand,4,107,0.037383177570093455
9,overhand_left,3,107,0.028037383177570093
9,dragon_roll,2,107,0.018691588785046728
9,sneak_underhand_right,1,107,0.009345794392523364
9,vq,1,107,0.009345794392523364
10,sneak_overhand_left,72,126,0.5714285714285714
10,dragon_roll,15,126,0.11904761904761904
10,sneak_overhand,15,126,0.11904761904761904
10,sneak_overhand_right,8,126,0.06349206349206349
10,clockwise,6,126,0.047619047619047616
10,counter_clockwise,3,126,0.023809523809523808
10,idle,3,126,0.023809523809523808
10,underhand_right,2,126,0.015873015873015872
10,overhand_right,1,126,0.007936507936507936
10,sneak_underhand_left,1,126,0.007936507936507936
11,underhand_right,23,94,0.24468085106382978
11,dragon_roll,22,94,0.23404255319148937
11,clockwise,19,94,0.20212765957446807
11,overhand_left,18,94,0.19148936170212766
11,idle,4,94,0.0425531914893617
11,counter_clockwise,2,94,0.02127659574468085
11,underhand_left,2,94,0.02127659574468085
11,sneak_overhand,1,94,0.010638297872340425
11,sneak_overhand_left,1,94,0.010638297872340425
11,sneak_underhand,1,94,0.010638297872340425
11,sneak_underhand_left,1,94,0.010638297872340425
