cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,2,8,0,5,6,32,18,26,5,25,10,2,13,15,4,8,29,12,5,2,0,0,0,6,0,22,22,9,3,7,15,4,13,7,18,3,8,8,3,6,11,1,17,23,1,4,6,7,5,6,20260302_100832_underhand_default
1,4,13,2,4,3,0,6,24,14,14,10,23,6,13,11,5,4,3,0,15,5,4,8,5,12,19,23,11,5,6,5,13,24,5,14,13,2,8,2,3,9,13,39,29,6,1,2,5,12,10,20260406_211811_experimental_jo div
2,2,7,4,4,2,10,26,33,13,29,5,3,10,13,4,4,15,1,1,23,0,0,1,0,0,16,17,10,1,6,11,18,18,3,1,12,22,15,1,6,6,6,63,61,0,1,0,2,1,5,20260406_211811_experimental_jo div
3,2,3,0,1,2,4,11,32,12,21,3,0,7,22,4,1,1,3,29,27,0,52,18,3,2,25,24,20,6,1,6,17,22,2,1,13,12,10,0,22,0,7,22,14,1,7,4,1,10,4,20260303_175703_dragon_roll_jo
4,5,2,3,5,2,1,9,27,1,19,2,0,2,7,1,0,2,1,8,13,0,0,35,1,0,15,7,4,1,3,16,1,25,6,15,17,9,4,1,3,11,8,60,52,0,1,0,0,2,1,20260406_211811_experimental_jo div
5,5,7,4,1,5,2,15,16,8,21,12,5,2,5,13,6,1,9,4,31,14,1,0,4,23,22,17,10,5,11,10,8,26,13,15,7,5,3,0,4,9,6,31,22,7,4,5,3,3,9,20260303_175338_overhand_jo
6,17,21,4,18,8,12,6,31,10,31,29,39,11,13,9,13,5,2,14,19,2,6,3,18,0,14,6,4,5,13,2,10,8,5,7,2,3,4,2,3,3,3,11,9,11,7,19,17,26,10,20260303_172356_experimental_jo
7,1,0,2,2,0,0,3,6,1,4,2,1,0,0,2,0,1,0,9,15,0,0,3,0,4,17,13,17,0,0,13,1,34,1,18,21,0,0,0,5,18,11,38,31,1,0,0,0,0,0,20260406_211811_experimental_jo div
8,1,2,1,0,0,1,9,39,3,26,9,0,6,8,2,0,0,0,2,19,6,0,34,0,0,13,9,4,3,4,0,3,4,7,0,8,10,7,0,9,3,7,12,13,2,4,2,0,8,12,20260302_173754_experimental_free
9,1,6,0,6,5,18,14,11,7,7,3,1,2,14,1,2,16,3,2,4,2,1,2,2,1,16,22,18,0,1,7,2,5,3,10,0,12,12,3,11,23,0,38,29,4,1,6,3,5,6,20260406_211811_experimental_jo div
10,3,4,2,0,2,0,2,34,10,25,17,1,5,17,4,3,1,1,2,8,23,15,0,9,53,16,22,12,3,1,5,18,22,1,0,3,23,15,1,1,2,1,46,44,3,2,1,0,2,6,20260303_182528_sneak_overhand_jo
11,6,8,0,7,3,23,18,26,19,27,10,3,4,12,5,3,30,21,34,23,2,38,23,1,1,11,14,13,12,4,14,22,16,4,16,10,2,6,0,18,3,5,37,25,4,1,1,2,4,3,20260303_175703_dragon_roll_jo
