cluster,label,count,cluster_total,p_label_given_cluster
0,counter_clockwise,16,20,0.8
0,underhand_right,3,20,0.15
0,idle,1,20,0.05
1,underhand_right,14,20,0.7
1,overhand_left,4,20,0.2
1,clockwise,2,20,0.1
2,counter_clockwise,11,20,0.55
2,underhand_left,4,20,0.2
2,underhand_right,4,20,0.2
2,overhand_left,1,20,0.05
3,dragon_roll,10,20,0.5
3,sneak_underhand_left,4,20,0.2
3,overhand_right,3,20,0.15
3,overhand_left,1,20,0.05
3,sneak_underhand,1,20,0.05
3,underhand_right,1,20,0.05
4,clockwise,9,20,0.45
4,underhand_right,5,20,0.25
4,overhand_right,3,20,0.15
4,overhand_left,2,20,0.1
4,sneak_overhand,1,20,0.05
5,counter_clockwise,9,20,0.45
5,overhand_left,5,20,0.25
5,overhand_right,5,20,0.25
5,sneak_overhand,1,20,0.05
6,idle,7,20,0.35
6,sneak_underhand,4,20,0.2
6,dragon_roll,2,20,0.1
6,overhand_right,2,20,0.1
6,underhand_right,2,20,0.1
6,clockwise,1,20,0.05
6,counter_clockwise,1,20,0.05
6,underhand_left,1,20,0.05
7,overhand_left,15,20,0.75
7,counter_clockwise,5,20,0.25
8,sneak_underhand_right,15,20,0.75
8,dragon_roll,2,20,0.1
8,sneak_underhand,2,20,0.1
8,clockwise,1,20,0.05
9,underhand_right,13,20,0.65
9,sneak_overhand,3,20,0.15
9,clockwise,2,20,0.1
9,sneak_underhand,2,20,0.1
10,sneak_overhand_left,17,20,0.85
10,dragon_roll,1,20,0.05
10,sneak_overhand,1,20,0.05
10,sneak_overhand_right,1,20,0.05
11,clockwise,7,20,0.35
11,overhand_left,7,20,0.35
11,underhand_right,6,20,0.3
