cluster,clockwise,counter_clockwise,dragon_roll,idle,idle or ol?,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.06542056074766354,0.514018691588785,0.056074766355140186,0.06542056074766354,0.0,0.0,0.018691588785046728,0.0,0.009345794392523364,0.0,0.0,0.028037383177570093,0.009345794392523364,0.0,0.0,0.2336448598130841,0.0,0.0
1,0.16030534351145037,0.007633587786259542,0.11450381679389313,0.030534351145038167,0.0,0.0,0.2366412213740458,0.0,0.03816793893129771,0.0,0.0,0.04580152671755725,0.022900763358778626,0.0,0.0,0.3435114503816794,0.0,0.0
2,0.006369426751592357,0.37579617834394907,0.07006369426751592,0.03184713375796178,0.006369426751592357,0.0,0.08280254777070063,0.07006369426751592,0.012738853503184714,0.1464968152866242,0.0,0.0,0.0,0.08917197452229299,0.06369426751592357,0.044585987261146494,0.0,0.0
3,0.019230769230769232,0.009615384615384616,0.3557692307692308,0.0,0.0,0.0,0.18269230769230768,0.11538461538461539,0.0,0.0,0.0,0.028846153846153848,0.17307692307692307,0.04807692307692308,0.0,0.057692307692307696,0.009615384615384616,0.0
4,0.24358974358974358,0.0,0.16025641025641027,0.00641025641025641,0.0,0.0,0.1346153846153846,0.10256410256410256,0.019230769230769232,0.0,0.02564102564102564,0.03205128205128205,0.0,0.02564102564102564,0.0,0.21794871794871795,0.03205128205128205,0.0
5,0.034782608695652174,0.30434782608695654,0.08695652173913043,0.043478260869565216,0.0,0.008695652173913044,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.008695652173913044,0.008695652173913044,0.0,0.017391304347826087,0.0,0.02608695652173913,0.02608695652173913,0.0,0.0
6,0.018867924528301886,0.1509433962264151,0.1320754716981132,0.3018867924528302,0.0,0.0,0.11320754716981132,0.03773584905660377,0.0,0.0,0.03773584905660377,0.07547169811320754,0.0,0.0,0.05660377358490566,0.05660377358490566,0.0,0.018867924528301886
7,0.0,0.32,0.03333333333333333,0.006666666666666667,0.0,0.0,0.6133333333333333,0.0,0.006666666666666667,0.0,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
8,0.06153846153846154,0.13846153846153847,0.2153846153846154,0.03076923076923077,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.49230769230769234,0.0,0.0,0.0,0.0
9,0.3644859813084112,0.04672897196261682,0.018691588785046728,0.056074766355140186,0.0,0.0,0.028037383177570093,0.0,0.037383177570093455,0.0,0.0,0.04672897196261682,0.0,0.009345794392523364,0.0,0.38317757009345793,0.0,0.009345794392523364
10,0.047619047619047616,0.023809523809523808,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.007936507936507936,0.11904761904761904,0.5714285714285714,0.06349206349206349,0.0,0.007936507936507936,0.0,0.0,0.015873015873015872,0.0,0.0
11,0.20212765957446807,0.02127659574468085,0.23404255319148937,0.0425531914893617,0.0,0.0,0.19148936170212766,0.0,0.010638297872340425,0.010638297872340425,0.0,0.010638297872340425,0.010638297872340425,0.0,0.02127659574468085,0.24468085106382978,0.0,0.0
