method,silhouette,davies_bouldin,n_clusters,noise_frac,ari_vs_kmeans
HDBSCAN on PCA-95%var,0.5111,1.7662,4,0.0073,-0.0003
K-Means(k=12) on PCA-95%var,0.0295,3.7076,12,0.0,0.3314
"Agglomerative(k=12, ward) on PCA-95%var",0.0127,4.246,12,0.0,0.2633
K-Means(k=12) shape-norm [EXISTING BASELINE],0.0109,4.3854,12,0.0,1.0
"GMM(k=12, full covariance) on PCA-95%var",-0.0125,4.6334,12,0.0,0.2403
