cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,3,3,0,0,1,4,3,12,7,6,6,1,2,12,3,2,0,1,0,5,0,38,11,1,0,6,3,3,1,1,2,10,6,1,0,8,3,2,0,15,0,5,10,8,0,4,0,2,4,1,20260303_175703_dragon_roll_jo
1,0,1,0,1,0,11,21,11,10,12,6,0,3,2,3,0,13,5,2,1,0,1,1,1,0,2,2,4,2,3,12,3,4,0,8,1,2,1,0,0,2,0,5,1,0,0,0,1,0,0,20260302_171509_experimental_under-over-exp
2,3,1,0,0,0,0,2,13,0,17,0,0,3,16,0,0,0,0,1,5,0,0,0,0,33,7,16,10,0,0,3,2,11,0,0,1,12,10,1,0,1,0,29,35,0,1,0,0,0,1,20260406_212408_experimental_jo div
3,0,1,1,4,6,0,17,16,10,18,4,2,1,5,0,2,1,0,32,28,0,0,0,2,1,3,3,0,6,2,1,14,0,2,0,3,0,0,0,16,1,1,3,5,0,0,1,0,0,5,20260303_174948_overhand_oli
4,1,3,0,1,1,10,0,2,3,1,0,0,1,7,1,0,2,0,0,0,0,0,1,1,1,10,12,10,1,0,0,0,4,0,2,0,5,9,0,0,11,0,22,9,1,0,4,1,3,1,20260406_211811_experimental_jo div
5,7,9,1,3,11,0,1,9,5,7,12,4,2,3,0,2,0,8,0,1,13,4,0,5,3,3,2,1,3,8,0,10,1,1,0,2,4,0,0,0,3,2,5,2,2,4,3,2,3,4,20260303_175458_dragon_roll_oli
6,4,11,4,16,3,2,2,5,5,3,6,25,5,3,2,8,1,4,12,8,1,1,1,1,0,2,2,1,4,3,2,2,1,2,1,1,0,0,0,7,1,1,1,2,5,6,11,10,26,2,Les_Lanciers_2026-02-11_16-39-40
7,0,0,0,0,0,0,4,8,4,13,0,4,6,4,2,0,0,0,27,25,0,0,0,2,0,20,13,15,1,0,2,1,13,0,1,0,0,0,0,0,0,0,4,1,3,3,3,2,0,4,20260303_174948_overhand_oli
8,2,3,3,2,0,0,0,12,2,8,0,5,2,7,1,4,2,0,0,2,0,0,25,2,1,12,4,0,1,1,1,0,5,2,0,13,1,0,0,8,10,16,7,11,0,0,0,1,5,9,20260303_180712_sneak_underhand_jo
9,0,3,0,0,2,22,8,12,4,13,5,0,9,11,0,0,7,8,0,0,0,0,0,0,0,21,21,13,1,2,8,2,7,4,16,0,2,3,1,3,2,0,9,17,0,0,0,0,0,3,20260302_100832_underhand_default
10,1,1,0,1,1,2,8,10,1,8,4,2,3,2,5,0,8,1,0,0,1,0,0,3,1,4,14,5,0,3,4,3,11,0,0,3,7,10,2,0,3,2,21,19,0,1,2,1,0,3,20260406_211811_experimental_jo div
11,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,2,12,0,0,0,0,1,16,8,16,0,0,12,0,23,0,17,18,0,0,0,3,10,11,28,17,0,0,0,0,2,0,20260406_211811_experimental_jo div
12,3,10,1,5,3,9,1,1,5,13,10,1,6,0,4,1,0,10,8,21,10,26,1,0,7,5,3,1,3,5,1,6,6,8,1,4,0,1,0,0,5,2,6,6,10,5,2,2,4,4,20260303_175703_dragon_roll_jo
13,1,0,2,1,1,0,5,11,0,11,0,0,0,2,1,0,0,0,6,4,0,0,30,0,0,6,1,2,0,1,8,3,14,0,0,3,7,3,1,0,3,1,17,14,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
