cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
1,0,0,0,2,0,0,2,5,0,2,0,0,0,1,0,0,0,0,2,13,0,0,0,0,0,16,9,15,0,0,12,0,24,0,17,18,0,0,0,0,9,11,28,18,0,0,0,0,0,0,20260406_211811_experimental_jo div
2,6,9,2,1,3,26,22,25,11,24,11,3,7,12,1,1,16,14,1,7,7,18,30,0,0,15,9,10,2,9,20,3,19,1,11,4,9,6,1,0,12,1,23,17,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
3,3,7,0,2,5,20,10,15,3,17,7,0,10,15,0,2,11,16,0,0,0,0,10,1,0,19,21,13,1,4,9,2,10,1,16,8,3,4,0,2,8,5,12,17,0,0,0,0,0,0,20260315_155448_experimental_jo
4,1,0,0,0,0,0,1,14,0,13,3,0,4,12,0,0,0,0,0,1,4,0,0,3,36,7,15,9,0,0,3,3,12,1,0,0,12,9,1,0,0,0,31,34,0,0,0,0,0,0,20260303_182528_sneak_overhand_jo
5,1,0,1,3,2,0,8,14,10,14,5,1,5,8,2,1,0,0,42,35,3,21,1,3,0,22,19,20,4,0,2,14,14,1,0,0,2,1,0,15,0,0,10,9,0,0,0,0,0,0,20260303_174948_overhand_oli
6,0,4,3,2,4,0,19,29,14,21,5,2,5,5,0,7,0,0,42,39,3,0,0,5,10,7,18,8,7,1,2,17,11,2,0,0,7,3,1,13,0,0,21,17,0,0,0,0,0,0,20260303_174948_overhand_oli
7,0,0,0,1,0,0,0,0,2,12,7,2,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,3,3,0,7,0,0,0,0,21,24,26,22,47,37,Les_Lanciers_2026-02-11_16-39-40
8,3,8,2,5,2,3,2,14,2,12,6,5,5,9,8,3,0,0,0,7,2,0,26,0,0,18,8,3,1,4,1,4,8,7,0,20,2,4,0,13,13,17,12,15,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
10,11,18,6,18,13,11,9,8,14,16,9,6,6,12,9,4,8,7,3,10,6,18,3,3,2,13,5,3,6,11,7,11,8,7,2,7,5,9,2,2,10,7,30,20,0,0,0,0,0,0,20260406_211811_experimental_jo div
11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
