class,precision,recall,f1,support
dragon_roll,0.6495726495726496,0.3438914027149321,0.44970414201183434,221
underhand_right,0.4222222222222222,0.46467391304347827,0.4424320827943079,368
underhand_left,0.0,0.0,0.0,18
overhand_left,0.45688073394495415,0.8258706467661692,0.5883047844063792,603
overhand_right,0.0,0.0,0.0,57
sneak_underhand_left,0.75,0.46153846153846156,0.5714285714285714,26
sneak_underhand_right,0.7073170731707317,0.5178571428571429,0.5979381443298969,56
sneak_overhand_left,0.7241379310344828,0.4329896907216495,0.5419354838709678,97
sneak_overhand_right,0.4,0.11764705882352941,0.18181818181818182,17
clockwise,0.5384615384615384,0.14788732394366197,0.23204419889502761,142
counter_clockwise,0.528,0.2920353982300885,0.37606837606837606,226
sneak_underhand,0.0,0.0,0.0,31
unknown,0.5172413793103449,0.2830188679245283,0.36585365853658536,106
