label,count
overhand_left,603
underhand_right,368
counter_clockwise,226
dragon_roll,221
clockwise,142
unknown,106
sneak_overhand_left,97
overhand_right,57
sneak_underhand_right,56
sneak_underhand,31
sneak_underhand_left,26
underhand_left,18
sneak_overhand_right,17
