cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,0,1,4,2,0,0,1,4,1,1,0,2,0,0,1,0,1,0,2,13,0,0,0,0,2,16,8,16,0,0,12,0,24,0,17,18,0,0,0,3,10,11,28,17,0,0,0,0,4,0,20260406_211811_experimental_jo div
1,0,0,0,1,1,1,4,10,5,12,1,3,5,4,2,0,1,0,29,25,0,0,1,2,0,20,13,15,1,0,3,1,11,0,1,0,0,0,0,0,0,1,4,1,4,3,4,2,2,3,20260303_174948_overhand_oli
2,1,2,0,5,3,1,8,11,1,4,4,4,4,3,5,2,8,1,0,1,2,0,0,3,0,4,14,2,1,7,4,5,11,1,0,3,6,10,1,0,3,2,23,21,0,1,1,3,1,3,20260406_211811_experimental_jo div
3,0,1,1,5,6,1,17,16,11,18,4,5,1,5,0,5,1,0,39,33,1,2,0,2,1,3,3,1,6,1,1,14,0,1,0,4,0,0,0,16,1,1,5,6,0,0,1,1,5,6,20260303_174948_overhand_oli
4,3,2,1,0,0,0,3,18,2,18,5,0,6,16,0,0,0,0,1,5,8,3,0,0,35,7,16,10,1,0,3,7,11,0,0,1,12,10,1,0,1,0,30,32,0,1,0,0,0,3,20260303_182528_sneak_overhand_jo
5,4,4,4,5,2,3,5,13,1,13,3,2,1,2,1,1,0,2,16,8,0,0,30,1,0,7,1,1,3,4,8,3,13,0,0,3,10,3,1,6,4,0,17,17,0,2,0,0,0,0,20260303_180712_sneak_underhand_jo
6,0,4,0,1,4,20,9,11,6,14,5,2,8,10,0,3,7,18,0,0,0,0,0,1,0,21,21,14,2,5,8,3,8,4,17,0,3,3,1,2,2,0,10,17,2,1,4,3,2,4,20260315_150630_experimental_jo
7,2,5,1,2,1,0,0,13,2,8,0,6,5,9,1,3,2,0,0,1,1,0,25,2,1,13,5,1,1,1,1,0,5,3,0,15,1,0,0,8,11,16,8,12,0,1,0,2,11,9,20260303_180712_sneak_underhand_jo
8,1,3,0,4,1,12,0,3,3,1,0,0,4,7,1,0,2,0,0,0,0,0,1,1,1,11,14,11,1,0,0,2,6,0,2,0,6,10,1,1,13,0,22,9,1,2,7,2,6,1,20260406_211811_experimental_jo div
9,0,2,0,1,0,13,22,11,10,12,6,0,4,1,3,0,13,7,1,1,0,3,2,0,0,2,2,5,2,2,12,3,4,0,8,1,2,1,0,0,2,1,6,2,0,0,1,0,0,0,20260302_171509_experimental_under-over-exp
10,10,8,0,0,6,5,2,12,9,12,13,2,1,13,3,2,0,1,0,7,4,38,11,1,0,6,3,3,2,2,2,13,7,1,0,10,2,1,0,16,2,6,10,10,1,6,1,2,6,2,20260303_175703_dragon_roll_jo
11,4,14,3,8,5,4,2,2,5,18,12,18,4,4,5,3,0,8,2,18,9,24,0,5,8,7,4,2,3,7,2,5,6,10,1,2,1,1,0,0,3,3,4,3,13,7,7,7,10,6,20260303_175703_dragon_roll_jo
