approach,accuracy,macro_f1
RF,0.8181818181818182,0.8367062913643788
BiLSTM,0.7992424242424242,0.8009286290200482
PCA+GBM,0.7803030303030303,0.7802678198953039
1D-CNN,0.7613636363636364,0.7642986717582388
DTW+k-NN,0.7234848484848485,0.750229719784949
