method,silhouette,davies_bouldin,n_clusters,noise_frac,ari_vs_kmeans
HDBSCAN on PCA-95%var,0.53,1.5207,3,0.0083,-0.0003
K-Means(k=12) on PCA-95%var,0.0433,3.356,12,0.0,0.503
"Agglomerative(k=12, ward) on PCA-95%var",0.0304,3.692,12,0.0,0.3553
"GMM(k=12, full covariance) on PCA-95%var",0.0261,3.7845,12,0.0,0.3903
K-Means(k=12) shape-norm [EXISTING BASELINE],0.0207,4.0464,12,0.0,1.0
