cluster,f1,support
C00,0.0,12
C01,0.8929110105580694,321
C02,0.7697160883280757,294
C03,0.9228486646884273,329
C04,0.9066147859922179,258
C05,0.8840970350404312,192
C06,0.8784313725490196,261
C07,0.8932806324110671,247
C08,0.9380053908355795,186
C09,0.7913043478260869,132
C10,0.9090909090909091,318
C11,0.9439252336448598,220
