feature,importance
gz_mean_d0,0.01050770571747938
flat_0674,0.009274355344652865
flat_0675,0.008963148053340227
flat_0676,0.007948164283949833
flat_0288,0.006850018818671657
flat_0286,0.0066267909455859616
flat_0738,0.006624424736773104
flat_0291,0.006567548015170457
flat_0740,0.006223913396635177
flat_0736,0.00614693973431749
flat_0737,0.005877313834710511
flat_0688,0.005845173276464464
flat_0289,0.005830545212665692
flat_0672,0.005741924700995107
flat_0739,0.005676890936608629
flat_0287,0.0055686536924126895
flat_0290,0.005547588359985391
flat_0673,0.005454155765641684
flat_0275,0.0054100586593190045
flat_0343,0.005231451312350931
flat_0670,0.005228837994344492
flat_0341,0.005019386076910329
flat_0671,0.004974280775992912
flat_0669,0.004949541153323141
flat_0228,0.004856729654234098
flat_0640,0.004853502497419273
flat_0641,0.004796315632479551
flat_0229,0.004785728745202562
flat_0344,0.00471771498541708
flat_0605,0.0046873524871906365
flat_0735,0.004685086496934595
flat_0686,0.004658484944362808
flat_0685,0.00465544936204094
flat_0604,0.004585419767363118
flat_0285,0.004580649280312215
flat_0277,0.004578560187629066
flat_0642,0.004572167962302794
flat_0342,0.004550287312312719
flat_0741,0.004537679693356564
flat_0276,0.004535617004649045
flat_0227,0.004521320908794811
flat_0346,0.004313041560631767
flat_0284,0.004310290610467452
flat_0742,0.00429737504536197
flat_0339,0.004293645513022923
flat_0280,0.004287727314928083
flat_0345,0.004235421209864505
flat_0274,0.004141780938192771
flat_0221,0.004023562531809983
flat_0684,0.004022682574315415
flat_0687,0.004011337195306211
flat_0643,0.003957689801450988
flat_0603,0.0039001093924598603
flat_0340,0.0038823353830872696
flat_0224,0.003874812886063349
flat_0606,0.0038425519588945935
flat_0222,0.0038325942865800942
flat_0279,0.0038231156196983575
flat_0689,0.0037900004619497722
flat_0292,0.0037719781030910214
flat_0273,0.003738299974054215
flat_0278,0.003733267006939689
flat_0225,0.003706456726971987
flat_0230,0.0036774606275206817
flat_0602,0.0036217995579421636
flat_0607,0.0036156524993772397
flat_0336,0.003612631137318119
flat_0363,0.0036101981753941265
flat_0734,0.003605321465164446
flat_0668,0.003594252023189532
flat_0609,0.0034695175209126343
flat_0270,0.0034524151901974237
flat_0282,0.003417614844788183
flat_0620,0.0034013625633557217
gz_mean_d1,0.0033949453133995124
flat_0348,0.0033932217827968513
flat_0690,0.0033929194907714993
flat_0619,0.003387662262610748
flat_0677,0.0033299607121534975
flat_0293,0.0033167954885300536
flat_0223,0.0032945622477023482
flat_0272,0.0032925070174165726
flat_0621,0.0032831710107929677
flat_0683,0.0032802374703442927
flat_0283,0.0032786867066147947
flat_0226,0.003273879001250941
flat_0347,0.003199392042521725
flat_0682,0.003190477138391171
flat_0265,0.0031856535951768714
flat_0268,0.00313616737343009
flat_0608,0.0031195449015864914
flat_0654,0.0031175202631697108
flat_0622,0.0031004403470046003
flat_0209,0.0030832666594513354
flat_0220,0.0030636874608200126
flat_0266,0.003007401978796456
flat_0210,0.0030031966104420386
flat_0644,0.0029924559608833783
flat_0281,0.002960076256285665
flat_0716,0.0029505547082248423
flat_0205,0.002925499468502366
flat_0678,0.002925475268446136
peak_omega_d1,0.0029229702925195437
flat_0267,0.002919300572586303
flat_0349,0.0029082188974554894
flat_0610,0.002890346488534511
flat_0364,0.0028666295642902455
flat_0350,0.0028454959663701362
flat_0733,0.0028314970247599824
flat_0337,0.002808669421087199
flat_0600,0.002788686090549826
flat_0269,0.0027747340438005895
flat_0334,0.0027501038601459716
flat_0302,0.002720573321605284
flat_0212,0.00268781859403052
flat_0308,0.002682994475062923
flat_0335,0.0026581685512973036
flat_0271,0.0026433215593378774
flat_0717,0.002638835353233554
flat_0601,0.0026289121691581013
flat_0691,0.0026167421874244107
flat_0264,0.0026057026899712005
flat_0218,0.0025930158763907366
flat_0301,0.002586833755320167
acc_mag_mean_d0,0.0025772021448798245
flat_0618,0.0025308867618609437
flat_0655,0.002519643767053709
flat_0294,0.0025144849975581025
flat_0362,0.002504886736553306
flat_0310,0.0024742333094855597
flat_0231,0.0024707513374312147
flat_0207,0.002447650385705973
flat_0718,0.0024476434174698597
flat_0623,0.002408108687831714
flat_0219,0.002395766356462025
flat_0743,0.0023943516310493177
flat_0719,0.00238496157536046
flat_0367,0.0023812729165873015
flat_0233,0.0023771283461285404
flat_0365,0.002371495137845243
flat_0612,0.0023639656591410846
flat_0616,0.002358838102296305
flat_0206,0.002357927363281909
flat_0303,0.0023546862706666275
flat_0613,0.0023473012106701675
flat_0645,0.002335652763911476
flat_0211,0.002331856622224699
flat_0208,0.0023299510116121373
flat_0203,0.0023273234252441173
flat_0353,0.0023219562549736763
flat_0352,0.0023179190219000797
flat_0680,0.002317295760871663
