cluster,f1,support
C00,0.9230769230769231,219
C01,0.8534704370179949,196
C02,0.7604938271604939,200
C03,0.8296593186372746,251
C04,0.9211009174311927,272
C05,0.801762114537445,224
C06,0.8776223776223776,280
C07,0.7932692307692307,214
C08,0.75,173
C09,0.8546511627906976,168
C10,0.7741935483870968,274
C11,0.6913996627318718,299
