cluster,f1,support
C00,0.0,12
C01,0.8701095461658842,317
C02,0.8653061224489796,243
C03,0.7308270676691729,338
C04,0.8398268398268398,218
C05,0.7739463601532567,278
C06,0.9071274298056156,222
C07,0.8013245033112583,146
C08,0.8023255813953488,253
C09,0.8579387186629527,367
C10,0.752,192
C11,0.8648648648648649,184
