cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
1,1,2,0,3,1,0,8,17,9,15,7,0,4,9,3,0,0,0,40,36,1,36,0,2,0,25,14,19,4,0,2,11,12,0,0,0,2,1,0,15,0,0,10,8,0,0,0,0,0,0,20260303_174948_overhand_oli
2,3,0,4,2,0,0,2,5,0,1,4,4,1,1,1,1,0,0,0,13,0,0,0,0,1,16,10,20,0,0,12,0,28,0,17,18,2,0,0,7,10,11,29,17,2,0,0,0,0,1,20260406_211811_experimental_jo div
3,10,15,6,13,7,4,9,7,13,10,7,3,8,11,11,6,7,2,0,13,4,3,3,3,4,9,8,5,5,16,6,11,7,8,3,5,6,4,2,0,10,7,27,18,0,0,1,1,0,0,20260406_211811_experimental_jo div
4,0,0,0,0,3,1,0,1,1,13,9,1,0,1,0,0,1,0,0,0,0,0,0,5,0,2,1,0,3,1,0,2,0,0,0,0,1,4,0,0,0,0,0,1,18,23,23,21,47,35,Les_Lanciers_2026-02-11_16-39-40
5,0,2,2,4,10,0,18,23,16,20,5,2,3,4,1,3,0,0,42,38,10,0,0,6,8,3,3,1,7,1,1,16,3,4,0,0,0,0,0,16,1,0,2,2,0,0,0,0,0,1,20260303_174948_overhand_oli
6,1,0,0,0,0,0,2,16,0,16,0,0,5,12,0,0,0,0,0,0,1,0,0,2,34,7,15,10,0,0,3,3,11,0,0,0,12,10,1,0,0,0,30,31,0,0,0,0,0,0,20260303_182528_sneak_overhand_jo
7,0,2,0,1,0,10,0,3,0,5,0,0,1,6,0,1,1,0,3,0,0,0,0,0,0,13,21,4,0,0,1,3,7,0,1,0,7,6,1,0,3,0,25,21,0,0,0,0,0,0,20260406_211811_experimental_jo div
8,3,11,1,4,2,18,20,10,10,15,8,5,5,5,3,0,16,14,3,1,0,31,1,0,1,3,2,6,2,2,12,5,5,0,8,4,2,1,0,0,2,0,8,3,0,1,0,0,0,0,20260303_175703_dragon_roll_jo
9,3,6,0,4,3,26,10,17,5,18,7,8,10,16,1,4,9,21,0,0,8,0,10,0,0,22,23,15,2,6,10,4,14,4,16,9,2,6,0,4,7,6,12,17,0,0,2,0,0,0,20260302_100832_underhand_default
10,2,6,0,0,1,0,0,13,2,8,6,7,3,7,2,4,1,0,0,2,1,0,25,0,0,11,5,0,0,2,0,1,5,4,0,17,2,0,0,8,13,16,6,11,1,0,0,0,0,0,20260303_180712_sneak_underhand_jo
11,2,2,1,3,2,1,4,12,0,10,0,2,3,2,0,0,0,0,2,9,0,0,31,0,0,6,2,1,0,1,9,0,14,0,1,4,7,7,1,2,6,1,18,18,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
