session,device,samples_raw,samples_out,duration_s,fs_input_hz,n_gaps,n_cycles,mean_freq_hz,cycle_cv
20260303_172052_experimental_oli,0,4955,4955,99.1,52.6,0,144,1.46,0.358
20260303_172052_experimental_oli,1,4954,4954,99.1,52.6,0,141,1.42,0.397
20260303_172356_experimental_jo,0,4125,4125,82.5,52.6,0,112,1.36,0.416
20260303_172356_experimental_jo,1,4126,4126,82.5,52.6,0,116,1.41,0.385
20260303_172529_experimental_jo,0,3267,3267,65.3,52.6,0,93,1.43,0.388
20260303_172529_experimental_jo,1,3267,3267,65.3,52.6,0,88,1.38,0.37
20260303_172739_experimental_jo,0,6305,6305,126.1,52.6,0,179,1.42,0.324
20260303_172739_experimental_jo,1,6306,6306,126.1,52.6,0,179,1.43,0.369
20260303_173008_experimental_oli,0,2940,2940,58.8,52.6,0,74,1.26,0.398
20260303_173008_experimental_oli,1,2941,2941,58.8,52.6,0,79,1.35,0.407
20260303_173116_experimental_oli,0,2374,2374,47.5,52.6,0,59,1.25,0.368
20260303_173116_experimental_oli,1,2375,2375,47.5,52.6,0,61,1.3,0.36
20260303_174607_underhand_jo,0,4726,4726,94.5,52.6,0,135,1.44,0.402
20260303_174607_underhand_jo,1,4728,4728,94.6,52.6,0,133,1.41,0.277
20260303_174743_underhand_oli,0,3088,3088,61.8,52.6,0,85,1.38,0.355
20260303_174743_underhand_oli,1,3088,3088,61.8,52.6,0,77,1.25,0.342
20260303_174948_overhand_oli,0,5299,5299,106.0,52.6,0,146,1.38,0.324
20260303_174948_overhand_oli,1,5299,5299,106.0,52.6,0,135,1.29,0.321
20260303_175338_overhand_jo,0,8185,8185,163.7,52.6,0,238,1.46,0.313
20260303_175338_overhand_jo,1,8185,8185,163.7,52.6,0,247,1.52,0.328
20260303_175458_dragon_roll_oli,0,2657,2657,53.1,52.6,0,69,1.31,0.345
20260303_175458_dragon_roll_oli,1,2658,2658,53.2,52.6,0,72,1.37,0.237
20260303_175703_dragon_roll_jo,0,4939,4939,98.8,52.6,0,139,1.42,0.331
20260303_175703_dragon_roll_jo,1,4938,4938,98.8,52.6,0,140,1.43,0.372
20260303_180119_race_and_chase_jo,0,2835,2835,56.7,52.6,0,78,1.38,0.345
20260303_180119_race_and_chase_jo,1,2835,2835,56.7,52.6,0,78,1.38,0.302
20260303_180712_sneak_underhand_jo,0,5452,5452,109.0,52.6,0,143,1.31,0.322
20260303_180712_sneak_underhand_jo,1,5452,5452,109.0,52.6,0,156,1.43,0.276
20260303_181059_sneak_overhand_oli,0,2492,2492,49.8,52.6,0,80,1.63,0.263
20260303_181059_sneak_overhand_oli,1,2491,2491,49.8,52.6,0,67,1.36,0.29
20260303_182528_sneak_overhand_jo,0,4531,4531,90.6,52.6,0,116,1.3,0.4
20260303_182528_sneak_overhand_jo,1,4531,4531,90.6,52.6,0,125,1.41,0.421
20260303_182756_cheetahs_tail_jo,0,2134,2134,42.7,52.6,0,59,1.4,0.434
20260303_182756_cheetahs_tail_jo,1,2136,2136,42.7,52.6,0,60,1.43,0.265
