sync_time,timestamp_ms,device_id,ax,ay,az,gx,gy,gz
0.015055179595947266,-1266455563,0,0.2525511682033539,0.058773476630449295,1.0880720615386963,0.67138671875,15.7470703125,9.58251953125
0.01677227020263672,-1266455544,0,0.2610960900783539,0.065121129155159,1.1290876865386963,0.244140625,17.15087890625,10.986328125
0.03374910354614258,-1266455563,1,-0.0740925669670105,-0.2197478711605072,0.9691181182861328,1.28173828125,10.7421875,13.916015625
0.03375697135925293,-1266455544,1,-0.059199992567300797,-0.2209685742855072,0.9808368682861328,-1.52587890625,8.72802734375,16.17431640625
0.04509902000427246,-1266455525,0,0.3050414025783539,0.066097691655159,1.1303083896636963,-2.38037109375,15.380859375,12.14599609375
0.052262306213378906,-1266455525,1,-0.037959758192300797,-0.2197478711605072,1.0306415557861328,-1.52587890625,7.01904296875,16.66259765625
0.08489799499511719,-1266455506,0,0.3277464807033539,0.080257847905159,1.1522810459136963,-3.23486328125,19.6533203125,14.404296875
0.08490490913391113,-1266455487,0,0.3409300744533539,0.097835972905159,1.1766951084136963,-5.06591796875,20.99609375,18.4326171875
0.08881902694702148,-1266455506,1,-0.033076945692300797,-0.2182830274105072,1.0406513214111328,-6.65283203125,10.31494140625,16.357421875
0.08882617950439453,-1266455487,1,-0.037227336317300797,-0.1955779492855072,1.0872821807861328,-8.85009765625,12.6953125,20.01953125
0.10498309135437012,-1266455468,0,0.3253050744533539,0.125668004155159,1.1950056552886963,-6.53076171875,22.27783203125,19.287109375
0.1128702163696289,-1266455468,1,-0.060176555067300797,-0.1799529492855072,1.1009540557861328,-12.6953125,14.5263671875,21.05712890625
0.11298727989196777,-1266455449,1,-0.1002156138420105,-0.1982634961605072,1.0789813995361328,-22.39990234375,15.869140625,17.822265625
0.13570618629455566,-1266455449,0,0.3069945275783539,0.115169957280159,1.1742537021636963,-9.33837890625,24.5361328125,20.3857421875
0.13571405410766602,-1266455430,0,0.2833128869533539,0.134945347905159,1.1581404209136963,-12.8173828125,29.541015625,23.5595703125
0.14257311820983887,-1266455430,1,-0.0989949107170105,-0.2158416211605072,1.0137958526611328,-25.32958984375,16.90673828125,24.59716796875
0.1649479866027832,-1266455394,0,0.2115355283021927,0.099300816655159,1.1034529209136963,-9.21630859375,32.71484375,35.58349609375
0.18305206298828125,-1266455394,1,-0.1082722544670105,-0.2063201367855072,0.9591083526611328,-24.90234375,15.380859375,31.18896484375
0.1947340965270996,-1266455375,0,0.2068968564271927,0.080501988530159,1.1312849521636963,-8.1787109375,30.70068359375,35.46142578125
0.20256686210632324,-1266455375,1,-0.1270710825920105,-0.2197478711605072,0.9896259307861328,-22.216796875,14.22119140625,31.3720703125
0.23433613777160645,-1266455356,0,0.2105589658021927,0.033626992255449295,1.1339704990386963,-9.521484375,32.8369140625,30.09033203125
