class,precision,recall,f1,support
dragon_roll,0.6111111111111112,0.5577464788732395,0.5832106038291606,355
underhand_right,0.4029535864978903,0.47512437810945274,0.4360730593607306,402
underhand_left,0.37254901960784315,0.22093023255813954,0.2773722627737226,86
overhand_left,0.4749232343909928,0.6489510489510489,0.5484633569739953,715
overhand_right,0.5723270440251572,0.5170454545454546,0.5432835820895522,176
sneak_underhand_left,0.7272727272727273,0.10810810810810811,0.18823529411764706,74
sneak_underhand_right,0.8840579710144928,0.7721518987341772,0.8243243243243243,79
sneak_overhand_left,0.7093023255813954,0.4621212121212121,0.5596330275229358,132
sneak_overhand_right,0.25,0.03571428571428571,0.0625,28
clockwise,0.5192307692307693,0.28421052631578947,0.3673469387755102,190
counter_clockwise,0.6680497925311203,0.5570934256055363,0.6075471698113207,289
idle,0.6470588235294118,0.8,0.7154471544715447,110
unknown,0.0,0.0,0.0,0
