approach,train_accuracy,test_accuracy,macro_f1,gap
PCA+GBM_raw,1.0,0.7518939393939394,0.7464958548545941,0.24810606060606055
GBM_coherence,0.2713472485768501,0.2708333333333333,0.03551912568306011,0.0005139152435167937
GBM_fourier,1.0,0.6685606060606061,0.6700203630458849,0.3314393939393939
GBM_fourier+coherence,1.0,0.6685606060606061,0.6700203630458849,0.3314393939393939
