cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,3,0,0,0,0,0,2,25,2,21,3,0,4,16,1,1,1,0,1,10,0,3,0,2,51,13,18,12,1,0,5,3,16,0,0,1,19,15,2,1,1,0,43,41,1,1,0,0,1,3,20260303_182528_sneak_overhand_jo
1,10,17,4,4,9,0,4,17,10,17,20,8,5,2,6,10,0,5,3,5,28,3,2,15,2,5,6,1,6,14,0,20,7,2,3,8,8,5,0,3,5,5,11,9,5,6,4,3,7,11,20260303_175458_dragon_roll_oli
2,3,5,1,12,5,0,16,38,20,29,12,4,5,8,5,7,5,8,37,41,3,2,19,11,2,10,10,5,9,4,2,26,10,4,2,9,0,1,0,13,1,3,18,15,3,1,0,1,6,9,20260303_175338_overhand_jo
3,2,8,6,3,3,2,14,20,10,20,7,3,4,10,8,6,1,4,4,35,16,3,0,3,36,21,14,8,4,8,11,15,29,14,15,7,10,5,2,3,8,5,34,22,9,3,7,2,5,8,20260303_182528_sneak_overhand_jo
4,1,1,1,2,0,0,3,6,1,3,1,1,0,1,2,0,1,0,6,15,0,0,3,0,3,18,12,17,0,0,13,1,31,1,18,21,0,0,0,5,18,11,38,29,1,0,0,1,2,0,20260406_211811_experimental_jo div
5,4,2,3,4,2,1,9,24,1,19,2,0,2,7,1,0,1,1,7,11,0,0,35,1,0,13,7,3,1,3,16,1,25,6,15,17,8,3,1,3,10,8,59,52,0,0,0,0,2,1,20260406_211811_experimental_jo div
6,2,2,1,1,3,3,10,32,11,24,3,1,6,19,4,1,1,3,29,28,0,51,18,3,2,27,25,21,4,1,6,17,21,3,0,5,10,9,0,19,0,7,20,14,0,7,2,3,11,5,20260303_175703_dragon_roll_jo
7,1,4,0,1,1,18,14,6,7,5,1,0,2,12,0,0,16,1,1,2,1,1,0,0,0,14,15,14,0,1,5,0,4,2,8,0,11,14,2,7,22,0,36,30,5,0,4,2,2,1,20260406_211811_experimental_jo div
8,7,5,1,2,3,23,15,12,13,22,8,4,5,9,7,0,26,16,3,4,0,46,5,1,0,11,8,12,5,3,14,9,11,1,14,5,4,7,0,8,5,5,22,15,4,1,2,0,2,5,20260303_175703_dragon_roll_jo
9,11,12,3,13,5,12,9,32,9,19,25,36,9,14,6,12,5,2,13,15,3,6,3,10,0,12,10,6,4,8,2,6,8,5,6,2,2,2,1,2,0,1,13,9,10,8,19,15,19,5,20260303_172356_experimental_jo
10,2,11,1,0,1,2,9,51,6,27,11,18,4,15,7,3,4,0,1,27,3,2,40,0,0,26,28,9,5,3,3,6,22,10,13,17,7,7,1,11,9,17,39,32,1,1,2,4,14,11,20260302_173754_experimental_free
11,2,7,1,4,2,10,14,17,8,19,9,2,8,10,8,3,15,5,0,4,0,0,1,0,0,14,17,13,1,10,11,9,18,2,2,8,21,16,1,7,7,5,63,59,0,1,1,2,2,7,20260406_211811_experimental_jo div
12,1,7,0,7,4,32,18,25,5,24,10,1,14,16,5,2,29,11,5,2,0,0,1,3,0,22,26,11,4,2,16,4,15,7,19,9,8,8,3,9,12,1,18,25,1,4,5,7,5,6,20260302_100832_underhand_default
