approach,accuracy,macro_f1
RF,0.821969696969697,0.836680256365566
BiLSTM,0.7821969696969697,0.8022891932056372
1D-CNN,0.7878787878787878,0.7842821340744867
DTW+k-NN,0.7234848484848485,0.750229719784949
PCA+GBM,0.7518939393939394,0.7464958548545941
