cluster,label,count,cluster_total,p_label_given_cluster
0,overhand_left,15,20,0.75
0,counter_clockwise,5,20,0.25
1,counter_clockwise,18,20,0.9
1,idle,1,20,0.05
1,sneak_underhand_left,1,20,0.05
2,clockwise,8,20,0.4
2,overhand_left,4,20,0.2
2,counter_clockwise,3,20,0.15
2,underhand_right,3,20,0.15
2,sneak_underhand_left,1,20,0.05
2,sneak_underhand_right,1,20,0.05
3,overhand_left,6,20,0.3
3,underhand_right,5,20,0.25
3,counter_clockwise,4,20,0.2
3,clockwise,2,20,0.1
3,dragon_roll,2,20,0.1
3,sneak_overhand_left,1,20,0.05
4,sneak_overhand_left,18,20,0.9
4,sneak_overhand,2,20,0.1
