cluster,label,count,cluster_total,p_label_given_cluster
0,overhand_left,87,197,0.4416243654822335
0,counter_clockwise,47,197,0.23857868020304568
0,overhand_right,17,197,0.08629441624365482
0,clockwise,11,197,0.05583756345177665
0,dragon_roll,11,197,0.05583756345177665
0,sneak_underhand_right,9,197,0.04568527918781726
0,underhand_right,6,197,0.030456852791878174
0,sneak_underhand,3,197,0.015228426395939087
0,sneak_overhand_right,2,197,0.01015228426395939
0,sneak_underhand_left,2,197,0.01015228426395939
0,underhand_left,1,197,0.005076142131979695
0,ur cw,1,197,0.005076142131979695
1,counter_clockwise,50,134,0.373134328358209
1,underhand_right,24,134,0.1791044776119403
1,sneak_underhand_left,17,134,0.12686567164179105
1,dragon_roll,15,134,0.11194029850746269
1,overhand_left,13,134,0.09701492537313433
1,clockwise,6,134,0.04477611940298507
1,sneak_underhand,4,134,0.029850746268656716
1,idle,3,134,0.022388059701492536
1,sneak_overhand,1,134,0.007462686567164179
1,ur cw,1,134,0.007462686567164179
2,underhand_right,51,142,0.3591549295774648
2,clockwise,38,142,0.2676056338028169
2,counter_clockwise,20,142,0.14084507042253522
2,overhand_left,9,142,0.06338028169014084
2,sneak_underhand_right,9,142,0.06338028169014084
2,sneak_overhand,6,142,0.04225352112676056
2,overhand_right,3,142,0.02112676056338028
2,sneak_underhand_left,2,142,0.014084507042253521
2,dragon_roll,1,142,0.007042253521126761
2,idle,1,142,0.007042253521126761
2,sneak_overhand_left,1,142,0.007042253521126761
2,sneak_underhand,1,142,0.007042253521126761
3,underhand_right,16,82,0.1951219512195122
3,counter_clockwise,14,82,0.17073170731707318
3,overhand_left,14,82,0.17073170731707318
3,clockwise,9,82,0.10975609756097561
3,sneak_overhand_left,7,82,0.08536585365853659
3,sneak_underhand_right,7,82,0.08536585365853659
3,dragon_roll,4,82,0.04878048780487805
3,overhand_right,4,82,0.04878048780487805
3,idle,3,82,0.036585365853658534
3,or osl,1,82,0.012195121951219513
3,sneak_overhand,1,82,0.012195121951219513
3,sneak_underhand_left,1,82,0.012195121951219513
3,vq,1,82,0.012195121951219513
4,sneak_overhand_left,55,93,0.5913978494623656
4,clockwise,12,93,0.12903225806451613
4,sneak_overhand,11,93,0.11827956989247312
4,dragon_roll,5,93,0.053763440860215055
4,sneak_overhand_right,3,93,0.03225806451612903
4,counter_clockwise,2,93,0.021505376344086023
4,underhand_right,2,93,0.021505376344086023
4,overhand_left,1,93,0.010752688172043012
4,sneak_underhand_left,1,93,0.010752688172043012
4,sneak_underhand_right,1,93,0.010752688172043012
