sync_time,timestamp_ms,device_id,ax,ay,az,gx,gy,gz
0.008535146713256836,-148013253,1,-0.14547625184059143,-0.15449371933937073,1.0382411479949951,-12.6953125,21.8505859375,-4.08935546875
0.008547067642211914,-148013234,1,-0.14791765809059143,-0.14594879746437073,1.0394618511199951,-13.12255859375,25.0244140625,-2.99072265625
0.020580291748046875,-148013226,0,-0.31047165393829346,-0.2754388153553009,0.9810584187507629,4.0283203125,11.8408203125,4.638671875
0.04436206817626953,-148013215,1,-0.14474382996559143,-0.14497223496437073,1.0311610698699951,-12.26806640625,27.7099609375,-3.41796875
0.050698041915893555,-148013207,0,-0.32292282581329346,-0.2769036591053009,0.9798377156257629,5.55419921875,12.63427734375,6.4697265625
0.05081439018249512,-148013188,0,-0.32292282581329346,-0.2817864716053009,0.9849646687507629,5.2490234375,13.5498046875,5.67626953125
0.06551122665405273,-148013196,1,-0.14010515809059143,-0.14082184433937073,1.0387294292449951,-12.14599609375,27.34375,-3.5400390625
0.06564140319824219,-148013177,1,-0.14254656434059143,-0.15620270371437073,1.0472743511199951,-10.986328125,30.6396484375,-3.35693359375
0.09107708930969238,-148013169,0,-0.30973923206329346,-0.2817864716053009,0.9900916218757629,8.36181640625,16.05224609375,7.32421875
0.09108519554138184,-148013150,0,-0.32634079456329346,-0.2771477997303009,0.9976599812507629,9.27734375,20.1416015625,6.9580078125
0.09566521644592285,-148013158,1,-0.15133562684059143,-0.14936676621437073,1.0560634136199951,-9.82666015625,33.3251953125,-3.23486328125
0.11085104942321777,-148013131,0,-0.32585251331329346,-0.2978997528553009,0.9791052937507629,10.80322265625,22.705078125,7.26318359375
0.13978314399719238,-148013139,1,-0.16451922059059143,-0.15327301621437073,1.0475184917449951,-10.009765625,37.2314453125,-5.4931640625
0.13979125022888184,-148013120,1,-0.15182390809059143,-0.16670075058937073,1.0345790386199951,-8.544921875,41.68701171875,-5.2490234375
0.14323019981384277,-148013112,0,-0.31364548206329346,-0.2944817841053009,0.9722693562507629,12.63427734375,28.6865234375,8.30078125
0.1432361602783203,-148013093,0,-0.33854782581329346,-0.2749505341053009,0.9383338093757629,12.8173828125,33.3251953125,13.85498046875
0.15564632415771484,-148013101,1,-0.15499773621559143,-0.17158356308937073,1.0240809917449951,-8.97216796875,46.875,-1.8310546875
0.15578222274780273,-148013082,1,-0.15670672059059143,-0.16425934433937073,0.9818446040153503,-10.7421875,51.025390625,2.685546875
0.17069530487060547,-148013074,0,-0.34245407581329346,-0.2512688934803009,0.9192908406257629,10.1318359375,36.0107421875,19.47021484375
0.19030332565307617,-148013063,1,-0.17184343934059143,-0.14497223496437073,0.9618250727653503,-8.60595703125,50.35400390625,8.544921875
0.204301118850708,-148013055,0,-0.36076462268829346,-0.2512688934803009,0.9261267781257629,12.3291015625,33.26416015625,25.20751953125
0.20431113243103027,-148013036,0,-0.36784470081329346,-0.2375970035791397,0.9234412312507629,15.5029296875,29.23583984375,27.4658203125
0.215745210647583,-148013044,1,-0.18771257996559143,-0.11616363376379013,0.9706141352653503,-4.69970703125,47.91259765625,12.939453125
0.21584820747375488,-148013025,1,-0.21993914246559143,-0.09858550876379013,0.9877039790153503,-1.03759765625,46.81396484375,13.48876953125
0.23782920837402344,-148013017,0,-0.38127243518829346,-0.2114739567041397,0.9390662312507629,18.98193359375,28.99169921875,28.99169921875
0.2594790458679199,-148012998,0,-0.40837204456329346,-0.1978020817041397,0.9449256062507629,20.6298828125,27.52685546875,28.38134765625
0.2844531536102295,-148012989,1,-0.25704851746559143,-0.10029449313879013,0.9842860102653503,1.8310546875,46.2646484375,7.99560546875
0.28446102142333984,-148012970,1,-0.25631609559059143,-0.14423981308937073,0.9855067133903503,3.7841796875,35.888671875,10.31494140625
0.2915933132171631,-148012962,0,-0.47892868518829346,-0.2407708317041397,0.9471228718757629,22.705078125,16.9677734375,27.9541015625
0.29160022735595703,-148012943,0,-0.5028544664382935,-0.2725091278553009,0.9520056843757629,29.96826171875,2.8076171875,37.29248046875
0.30568599700927734,-148012951,1,-0.25021257996559143,-0.18256989121437073,0.9820887446403503,12.451171875,27.9541015625,21.240234375
0.3057982921600342,-148012932,1,-0.23678484559059143,-0.19990387558937073,1.0082118511199951,22.705078125,21.17919921875,32.28759765625
