cluster,f1,support
C00,0.9669669669669669,170
C01,0.893542757417103,282
C02,0.916030534351145,268
C03,0.0,18
C04,0.8606060606060606,318
C05,0.951048951048951,218
C06,0.8096885813148789,146
C07,0.801980198019802,112
C08,0.9078014184397163,347
C09,0.8718626155878467,365
C10,0.9033942558746736,193
C11,0.9085457271364318,333
