cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,1,0,0,1,1,0,4,9,8,12,2,9,6,4,2,1,1,0,27,25,0,0,1,2,0,20,14,15,1,0,2,2,11,0,1,0,0,0,0,0,0,1,4,1,4,6,7,2,3,4,20260303_174948_overhand_oli
1,1,4,2,7,9,2,17,16,15,24,5,8,2,5,0,5,1,3,37,33,8,4,0,2,2,4,3,0,7,2,1,16,0,2,0,4,0,0,0,16,1,0,4,4,0,0,1,1,7,5,20260303_174948_overhand_oli
2,4,0,0,0,0,0,2,15,0,17,0,0,4,16,0,0,0,0,1,6,0,0,0,0,34,7,16,10,1,1,3,2,12,0,0,1,12,10,1,0,1,0,29,34,0,1,0,0,0,1,20260303_182528_sneak_overhand_jo
3,2,8,3,2,1,1,0,12,2,9,7,10,5,8,4,5,2,0,0,3,1,0,25,2,2,14,6,0,1,3,2,2,7,7,0,14,2,0,0,8,10,16,9,13,8,2,5,4,12,15,20260303_180712_sneak_underhand_jo
4,2,2,0,0,1,4,2,9,5,6,6,1,2,12,3,2,0,0,0,1,0,38,11,1,0,6,2,3,1,0,3,9,6,0,0,8,2,2,0,16,0,5,10,8,0,2,0,1,4,1,20260303_175703_dragon_roll_jo
5,2,4,0,3,1,3,9,10,2,10,5,2,5,3,6,3,6,2,0,10,2,0,0,3,4,9,17,5,2,7,4,4,13,4,1,5,7,10,2,0,5,5,24,23,0,3,2,3,1,3,20260406_211811_experimental_jo div
6,6,11,1,6,11,2,1,10,7,10,16,10,6,4,1,3,0,9,11,11,13,5,0,6,1,1,2,2,3,9,0,11,2,2,0,2,4,0,0,6,2,2,5,3,7,6,4,2,7,4,20260303_172052_experimental_oli
7,2,2,4,6,2,0,5,11,0,11,0,0,0,2,1,0,0,3,7,4,0,0,30,0,0,5,2,2,2,1,9,3,14,0,0,3,7,3,1,0,5,1,17,15,1,1,0,0,0,0,20260303_180712_sneak_underhand_jo
8,0,1,3,1,0,0,1,2,1,1,0,2,0,0,1,0,1,0,3,12,0,0,0,0,1,16,7,16,0,0,12,0,23,0,17,18,0,1,0,3,9,11,28,18,0,0,0,1,3,0,20260406_211811_experimental_jo div
9,1,2,0,5,1,11,1,6,2,1,0,0,2,8,1,0,2,0,0,0,0,0,1,1,3,11,12,10,1,0,0,2,7,1,3,0,5,9,0,1,13,0,22,9,1,2,6,3,7,1,20260406_211811_experimental_jo div
10,1,3,0,0,2,22,9,13,4,13,5,2,8,10,0,0,7,9,0,0,0,0,0,0,0,21,21,13,2,3,8,2,7,4,16,1,2,3,1,2,2,0,9,17,0,0,1,3,1,3,20260302_100832_underhand_default
11,3,9,1,3,0,15,22,11,10,17,7,0,3,2,3,0,15,11,4,7,1,23,2,1,1,3,2,5,2,3,12,3,4,0,8,1,2,1,0,0,4,0,6,2,0,1,0,2,2,0,20260303_175703_dragon_roll_jo
