approach,accuracy,macro_f1,mse
RF,0.821969696969697,0.836680256365566,4.045454545454546
1D-CNN,0.7708333333333334,0.7812922530931464,6.229166666666667
BiLSTM,0.7632575757575758,0.7737207535228666,5.660984848484849
PCA+GBM,0.7518939393939394,0.7464958548545941,5.638257575757576
