label,count
overhand_left,715
underhand_right,402
dragon_roll,355
counter_clockwise,289
clockwise,190
overhand_right,176
sneak_overhand_left,132
idle,110
underhand_left,86
sneak_underhand_right,79
sneak_underhand_left,74
sneak_overhand_right,28
