cluster,label,count,cluster_total,p_label_given_cluster
0,counter_clockwise,9,10,0.9
0,underhand_right,1,10,0.1
1,overhand_left,4,10,0.4
1,clockwise,3,10,0.3
1,underhand_right,3,10,0.3
2,overhand_left,3,10,0.3
2,clockwise,2,10,0.2
2,overhand_right,2,10,0.2
2,dragon_roll,1,10,0.1
2,sneak_underhand_right,1,10,0.1
2,ur cw,1,10,0.1
3,counter_clockwise,2,10,0.2
3,overhand_left,2,10,0.2
3,sneak_overhand,2,10,0.2
3,bf2,1,10,0.1
3,clockwise,1,10,0.1
3,dragon_roll,1,10,0.1
3,or osl,1,10,0.1
4,sneak_underhand,3,10,0.3
4,dragon_roll,2,10,0.2
4,sneak_overhand_right,2,10,0.2
4,clockwise,1,10,0.1
4,counter_clockwise,1,10,0.1
4,idle,1,10,0.1
5,overhand_right,5,10,0.5
5,underhand_right,4,10,0.4
5,clockwise,1,10,0.1
6,counter_clockwise,6,10,0.6
6,underhand_right,2,10,0.2
6,clockwise,1,10,0.1
6,overhand_left,1,10,0.1
7,sneak_overhand_left,10,10,1.0
8,overhand_left,7,10,0.7
8,counter_clockwise,3,10,0.3
9,underhand_right,7,10,0.7
9,overhand_left,2,10,0.2
9,clockwise,1,10,0.1
10,clockwise,6,10,0.6
10,underhand_right,4,10,0.4
11,counter_clockwise,3,10,0.3
11,underhand_right,3,10,0.3
11,sneak_underhand_right,2,10,0.2
11,dragon_roll,1,10,0.1
11,overhand_left,1,10,0.1
12,sneak_underhand_left,6,10,0.6
12,bf2,1,10,0.1
12,dragon_roll,1,10,0.1
12,sneak_underhand,1,10,0.1
12,underhand_right,1,10,0.1
