cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,1,3,0,0,0,22,9,10,4,13,3,1,8,10,0,1,7,5,0,0,0,0,0,0,0,20,21,13,1,1,8,2,7,4,17,0,2,3,1,2,1,0,9,17,0,0,0,0,0,3,20260302_100832_underhand_default
1,0,2,0,1,0,13,22,11,10,13,6,0,3,2,3,0,13,8,1,1,0,3,2,0,0,2,2,5,2,2,12,3,4,0,8,1,2,1,0,0,2,1,6,2,0,0,0,0,0,0,20260302_171509_experimental_under-over-exp
2,2,1,3,1,0,0,5,11,0,10,0,0,0,2,1,0,0,0,6,4,0,0,30,0,0,6,1,2,0,1,9,3,14,0,0,3,7,3,1,0,4,1,17,16,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
3,5,15,3,9,5,7,1,2,6,15,10,14,4,3,4,3,0,7,8,24,10,24,0,2,8,6,4,1,5,6,2,5,6,9,1,3,0,1,0,0,3,3,4,3,13,6,5,9,11,6,20260303_175338_overhand_jo
4,8,14,2,10,13,2,2,13,6,10,19,13,4,5,2,5,1,16,11,12,13,3,0,6,1,2,2,1,4,10,0,7,3,3,1,2,4,0,0,6,2,0,3,3,4,8,6,4,21,3,Les_Lanciers_2026-02-11_16-39-40
5,0,0,0,1,1,0,4,9,4,13,2,4,6,4,2,0,1,0,28,24,0,0,1,2,0,20,13,15,1,0,2,1,11,0,1,0,0,0,0,0,0,0,4,1,3,4,5,2,2,4,20260303_174948_overhand_oli
6,1,1,0,2,1,1,8,10,1,7,4,1,6,2,5,2,8,1,0,1,2,0,0,3,0,4,15,4,0,7,4,4,11,0,0,3,6,10,1,0,3,2,22,20,0,1,1,2,0,3,20260406_211811_experimental_jo div
7,4,1,0,0,0,0,3,18,1,17,1,0,4,16,0,0,0,0,1,5,0,1,0,0,35,7,16,10,1,0,3,5,11,0,0,1,12,10,1,0,1,0,29,33,0,1,0,0,0,3,20260303_182528_sneak_overhand_jo
8,0,1,4,2,0,0,1,3,1,1,1,2,0,0,1,0,1,0,2,13,0,0,0,0,1,16,8,16,0,0,12,0,23,0,17,18,0,0,0,3,10,11,28,17,0,0,0,0,2,0,20260406_211811_experimental_jo div
9,2,1,1,1,1,0,0,11,2,7,0,3,3,5,1,3,1,0,0,0,0,0,25,1,1,13,4,1,1,0,1,0,5,2,0,15,1,0,0,8,11,16,8,11,0,0,0,1,3,8,20260303_180712_sneak_underhand_jo
10,1,2,0,3,1,11,0,2,3,1,0,0,2,8,1,0,2,0,0,0,0,0,1,1,1,11,12,10,1,0,0,1,6,0,1,0,6,9,1,1,14,0,22,10,1,1,5,2,0,1,20260406_211811_experimental_jo div
11,0,2,1,4,5,0,17,16,10,18,4,5,1,5,0,5,1,0,33,28,0,1,0,2,1,4,3,0,6,2,1,14,0,2,0,3,0,0,0,16,1,1,5,5,0,0,1,1,4,5,20260303_174948_overhand_oli
12,1,3,0,0,2,4,1,8,8,6,3,1,2,12,2,0,0,0,0,0,0,38,11,1,0,6,3,3,1,0,2,11,5,0,0,8,3,2,0,16,0,6,10,9,0,3,3,1,4,1,20260303_175703_dragon_roll_jo
