cluster,bf2,clockwise,counter_clockwise,dragon_roll,idle,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.0,0.014925373134328358,0.5970149253731343,0.0,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.34328358208955223,0.0,0.0
1,0.0,0.34782608695652173,0.043478260869565216,0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0
2,0.0,0.2962962962962963,0.0,0.16666666666666666,0.0,0.0,0.2037037037037037,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.14814814814814814,0.0,0.037037037037037035,0.018518518518518517,0.0
3,0.038461538461538464,0.07692307692307693,0.23076923076923078,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.038461538461538464,0.0,0.0
4,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.36363636363636365,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0
6,0.0,0.01694915254237288,0.5084745762711864,0.01694915254237288,0.03389830508474576,0.0,0.13559322033898305,0.0847457627118644,0.0,0.1016949152542373,0.0,0.0,0.0,0.03389830508474576,0.01694915254237288,0.05084745762711865,0.0,0.0
7,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,0.7333333333333333,0.02666666666666667,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0
8,0.0,0.0,0.3482142857142857,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.2777777777777778,0.013888888888888888,0.013888888888888888,0.0,0.0,0.06944444444444445,0.0,0.013888888888888888,0.0,0.0,0.0,0.027777777777777776,0.125,0.0,0.4583333333333333,0.0,0.0
10,0.0,0.38596491228070173,0.10526315789473684,0.0,0.017543859649122806,0.0,0.08771929824561403,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.017543859649122806,0.0,0.3508771929824561,0.0,0.0
11,0.0,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,0.0,0.07142857142857142
12,0.1794871794871795,0.0,0.05128205128205128,0.20512820512820512,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.4358974358974359,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0
