cluster,label,count,cluster_total,p_label_given_cluster
0,sneak_underhand_left,7,10,0.7
0,sneak_underhand,2,10,0.2
0,underhand_right,1,10,0.1
1,overhand_left,5,10,0.5
1,clockwise,3,10,0.3
1,underhand_right,2,10,0.2
2,sneak_overhand_left,10,10,1.0
3,counter_clockwise,3,10,0.3
3,dragon_roll,2,10,0.2
3,idle,1,10,0.1
3,overhand_left,1,10,0.1
3,sneak_overhand_left,1,10,0.1
3,sneak_underhand_right,1,10,0.1
3,underhand_right,1,10,0.1
4,underhand_right,8,10,0.8
4,clockwise,2,10,0.2
5,counter_clockwise,3,10,0.3
5,dragon_roll,2,10,0.2
5,sneak_overhand_right,2,10,0.2
5,clockwise,1,10,0.1
5,sneak_underhand_left,1,10,0.1
5,sneak_underhand_right,1,10,0.1
6,idle,2,9,0.2222222222222222
6,underhand_right,2,9,0.2222222222222222
6,bf2,1,9,0.1111111111111111
6,clockwise,1,9,0.1111111111111111
6,counter_clockwise,1,9,0.1111111111111111
6,sneak_underhand,1,9,0.1111111111111111
6,vq,1,9,0.1111111111111111
7,overhand_right,5,10,0.5
7,clockwise,2,10,0.2
7,overhand_left,2,10,0.2
7,underhand_right,1,10,0.1
8,clockwise,3,10,0.3
8,overhand_left,3,10,0.3
8,sneak_underhand_left,2,10,0.2
8,sneak_underhand_right,1,10,0.1
8,underhand_right,1,10,0.1
9,counter_clockwise,7,10,0.7
9,underhand_right,3,10,0.3
10,counter_clockwise,8,10,0.8
10,underhand_left,1,10,0.1
10,underhand_right,1,10,0.1
11,overhand_left,8,10,0.8
11,counter_clockwise,2,10,0.2
12,clockwise,2,10,0.2
12,counter_clockwise,2,10,0.2
12,overhand_left,2,10,0.2
12,bf2,1,10,0.1
12,idle,1,10,0.1
12,or osl,1,10,0.1
12,sneak_underhand_right,1,10,0.1
13,overhand_left,3,10,0.3
13,clockwise,2,10,0.2
13,dragon_roll,1,10,0.1
13,overhand_right,1,10,0.1
13,sneak_underhand,1,10,0.1
13,sneak_underhand_right,1,10,0.1
13,ur cw,1,10,0.1
