cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
1,1,0,0,2,4,1,5,3,3,14,12,1,1,2,3,2,7,1,0,0,3,0,1,6,0,5,2,0,4,6,2,2,3,1,0,1,5,4,0,6,6,0,14,11,20,23,24,21,47,36,Les_Lanciers_2026-02-11_16-39-40
2,2,6,0,4,5,26,10,16,8,18,8,2,9,16,1,2,9,21,0,0,9,0,10,0,0,22,23,15,2,6,10,6,13,4,16,10,2,6,0,4,9,6,12,17,0,0,2,0,0,0,20260302_100832_underhand_default
3,2,3,1,3,2,1,4,11,0,10,0,0,3,2,0,0,0,0,2,9,0,0,31,0,0,6,2,1,0,1,9,0,14,0,1,4,10,9,2,2,6,1,19,18,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
4,2,6,0,0,1,0,0,12,2,8,6,7,3,7,2,3,1,0,0,2,2,0,25,0,1,12,4,0,1,1,1,1,5,2,0,17,2,0,0,8,13,16,6,11,1,0,0,0,0,0,20260303_180712_sneak_underhand_jo
5,6,18,7,13,6,22,25,18,13,24,12,2,10,9,9,2,17,15,3,13,0,20,3,0,3,9,5,8,5,13,15,10,7,7,10,7,2,1,1,0,6,7,20,11,0,1,0,1,0,0,20260302_171509_experimental_under-over-exp
6,0,2,0,4,1,10,0,3,0,6,0,0,1,6,0,1,1,0,3,0,2,0,0,0,0,12,23,5,0,0,1,3,7,0,1,0,7,7,1,2,2,0,25,21,0,0,0,0,0,0,20260406_211811_experimental_jo div
7,1,2,2,5,7,0,18,23,16,19,6,2,5,4,2,6,0,0,42,38,8,12,0,6,7,3,4,1,7,1,0,15,4,5,0,0,0,0,0,14,1,0,2,1,0,0,0,0,0,0,20260303_174948_overhand_oli
8,8,9,1,2,3,0,8,19,14,17,7,4,4,15,4,2,0,0,40,37,0,38,0,5,2,25,15,21,4,0,3,16,13,1,1,0,3,2,0,15,0,0,10,8,0,0,0,0,0,0,20260303_174948_overhand_oli
9,3,0,3,1,0,0,1,3,0,1,2,3,2,1,1,1,0,0,0,13,0,0,0,0,1,16,11,20,0,1,12,0,29,0,17,18,0,0,0,1,9,11,29,18,0,0,0,0,0,1,20260316_171550_experimental_jo
10,0,0,0,0,0,0,2,16,0,14,0,0,5,12,0,0,0,0,0,0,1,0,0,1,34,7,15,10,0,0,3,3,11,0,0,0,12,10,1,0,0,0,30,31,0,0,0,0,0,0,20260303_182528_sneak_overhand_jo
11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
