cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,3,2,1,3,1,9,18,22,14,13,10,2,4,13,5,5,15,3,1,0,2,2,12,3,1,14,13,6,1,9,6,8,9,2,2,1,23,12,1,13,6,1,44,38,2,4,2,1,12,2,20260406_211811_experimental_jo div
1,7,11,0,5,2,11,17,16,7,15,2,6,6,10,2,0,28,15,3,10,1,42,7,0,0,11,4,3,2,1,12,8,12,1,12,9,12,10,0,19,9,5,42,31,0,0,0,0,0,0,20260303_175703_dragon_roll_jo
2,4,13,3,5,7,22,17,34,16,31,13,11,9,7,8,3,7,5,6,11,13,5,6,2,9,26,20,19,3,15,11,16,21,4,11,9,10,12,7,11,13,9,41,33,0,0,1,2,1,1,20260406_211811_experimental_jo div
3,12,22,6,10,6,4,15,30,16,28,8,8,15,21,20,6,11,3,5,30,10,5,28,5,12,26,22,8,10,7,11,14,17,17,20,10,6,12,1,4,8,7,29,31,3,0,1,1,1,2,20260406_212408_experimental_jo div
4,1,7,4,8,2,16,15,33,13,31,17,26,5,18,9,11,12,14,12,28,3,21,8,8,9,35,15,16,3,7,7,12,18,8,6,13,1,1,2,8,2,5,27,30,1,1,2,1,0,3,20260315_150630_experimental_jo
5,1,3,4,5,0,1,3,8,3,6,7,4,5,2,1,4,1,0,8,20,5,1,1,0,6,19,20,23,2,1,13,6,33,3,17,20,3,3,0,1,15,10,38,24,1,0,0,0,0,1,20260406_211811_experimental_jo div
6,2,3,0,1,1,10,9,18,3,13,7,5,2,7,1,2,1,1,0,8,0,5,3,0,3,18,24,6,1,0,5,3,20,3,15,11,8,4,1,8,9,9,51,36,0,0,0,0,1,0,20260406_211811_experimental_jo div
7,7,0,1,0,1,0,3,23,1,17,2,0,1,14,1,0,0,0,2,6,5,0,0,6,39,9,19,14,0,5,6,6,16,4,1,0,22,14,1,4,2,1,46,37,0,0,0,0,0,0,20260406_211811_experimental_jo div
8,0,1,0,0,2,0,0,0,4,3,10,2,0,2,1,4,2,0,0,0,1,0,1,12,2,0,1,0,5,4,0,5,4,1,0,0,4,2,0,8,1,0,2,2,31,25,37,34,57,59,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47
9,1,4,0,2,0,0,9,30,0,22,3,5,6,10,0,0,1,0,10,15,0,0,34,1,0,13,7,1,0,0,16,1,27,1,14,19,8,5,0,4,14,12,55,47,0,0,0,0,0,0,20260406_211811_experimental_jo div
10,5,13,0,4,5,29,9,13,4,29,15,3,10,19,5,1,27,15,0,3,11,0,24,0,0,19,14,8,9,5,14,10,15,5,15,17,8,14,0,10,18,9,18,16,1,3,3,1,3,4,20260302_100832_underhand_default
11,3,1,2,4,2,1,7,41,9,27,12,4,2,13,7,2,0,0,35,29,1,34,0,1,11,13,29,25,2,1,2,10,19,3,0,0,2,3,0,1,0,0,17,15,1,0,0,0,3,0,20260302_173754_experimental_free
12,3,1,1,6,9,0,15,37,13,14,6,2,3,3,0,7,0,0,28,39,2,2,3,11,4,3,8,3,6,2,1,18,6,5,2,0,1,0,0,0,1,0,4,12,0,0,0,0,0,0,20260303_175338_overhand_jo
