cluster,label,count,cluster_total,p_label_given_cluster
0,counter_clockwise,7,20,0.35
0,dragon_roll,5,20,0.25
0,underhand_right,4,20,0.2
0,underhand_left,3,20,0.15
0,idle,1,20,0.05
1,clockwise,6,20,0.3
1,dragon_roll,5,20,0.25
1,overhand_left,4,20,0.2
1,underhand_right,2,20,0.1
1,counter_clockwise,1,20,0.05
1,idle,1,20,0.05
1,underhand_left,1,20,0.05
2,idle,15,20,0.75
2,counter_clockwise,3,20,0.15
2,clockwise,2,20,0.1
3,idle,9,20,0.45
3,underhand_right,5,20,0.25
3,sneak_underhand,4,20,0.2
3,dragon_roll,1,20,0.05
3,overhand_left,1,20,0.05
4,idle,12,20,0.6
4,counter_clockwise,4,20,0.2
4,clockwise,1,20,0.05
4,sneak_underhand,1,20,0.05
4,underhand_right,1,20,0.05
4,ur cw,1,20,0.05
5,overhand_left,13,20,0.65
5,counter_clockwise,7,20,0.35
6,underhand_right,15,20,0.75
6,overhand_left,3,20,0.15
6,clockwise,2,20,0.1
7,sneak_overhand_left,13,20,0.65
7,sneak_overhand,3,20,0.15
7,counter_clockwise,1,20,0.05
7,dragon_roll,1,20,0.05
7,sneak_overhand_right,1,20,0.05
7,underhand_right,1,20,0.05
8,counter_clockwise,5,13,0.38461538461538464
8,dragon_roll,4,13,0.3076923076923077
8,sneak_overhand,2,13,0.15384615384615385
8,idle,1,13,0.07692307692307693
8,sneak_underhand,1,13,0.07692307692307693
9,clockwise,10,20,0.5
9,underhand_right,6,20,0.3
9,overhand_right,3,20,0.15
9,dragon_roll,1,20,0.05
10,counter_clockwise,8,20,0.4
10,idle,6,20,0.3
10,clockwise,2,20,0.1
10,dragon_roll,1,20,0.05
10,sneak_underhand_left,1,20,0.05
10,underhand_left,1,20,0.05
10,underhand_right,1,20,0.05
11,dragon_roll,4,20,0.2
11,overhand_left,4,20,0.2
11,overhand_right,4,20,0.2
11,underhand_right,3,20,0.15
11,sneak_overhand,2,20,0.1
11,clockwise,1,20,0.05
11,counter_clockwise,1,20,0.05
11,idle,1,20,0.05
12,dragon_roll,5,20,0.25
12,overhand_left,5,20,0.25
12,clockwise,2,20,0.1
12,counter_clockwise,2,20,0.1
12,underhand_right,2,20,0.1
12,sneak_overhand,1,20,0.05
12,sneak_overhand_left,1,20,0.05
12,sneak_underhand_right,1,20,0.05
12,vq,1,20,0.05
