timestamp,device,ax,ay,az,gx,gy,gz
1770820780701,0,0.52230829000473022,-0.31527337431907654,0.80948781967163086,176.3916015625,315.73486328125,374.0234375
1770820780834,1,0.8872830867767334,-0.50688791275024414,-0.57678216695785522,205.38330078125,13.36669921875,23.92578125
1770820780722,0,0.30111691355705261,-0.20394524931907654,0.88273000717163086,208.67919921875,275.7568359375,375.42724609375
1770820780855,1,0.9258573055267334,-0.63139963150024414,-0.71374505758285522,216.61376953125,42.41943359375,2.0751953125
1770820780876,1,0.9680936336517334,-0.71880197525024414,-0.77185052633285522,219.6044921875,18.61572265625,-3.35693359375
1770820780760,0,0.47933956980705261,-0.18075188994407654,1.2491850852966309,231.8115234375,240.66162109375,446.96044921875
1770820780897,1,0.9954373836517334,-0.80327463150024414,-0.83630365133285522,245.42236328125,-11.71875,-11.77978515625
1770820780780,0,0.25936886668205261,-0.032070249319076538,1.1598296165466309,224.365234375,209.47265625,509.70458984375
1770820780801,0,0.20980831980705261,-0.021083921194076538,1.3231596946716309,198.30322265625,203.67431640625,575.439453125
1770820780918,1,1.0716092586517334,-0.80400705337524414,-1.0504149198532104,266.17431640625,-28.38134765625,-32.8369140625
1770820780939,1,1.1511991024017334,-0.78227853775024414,-1.2200926542282104,260.31494140625,-75.5615234375,-60.11962890625
1770820780822,0,0.10897823423147202,-0.0049706399440765381,1.4982085227966309,175.96435546875,185.97412109375,647.39990234375
1770820780960,1,1.0520780086517334,-0.75005197525024414,-1.2984617948532104,238.28125,-113.1591796875,-100.2197265625
1770820780843,0,0.056487999856472015,-0.081142514944076538,1.4339995384216309,154.23583984375,204.345703125,695.73974609375
1770820780864,0,0.20370480418205261,-0.17904290556907654,1.4867339134216309,83.740234375,226.806640625,747.6806640625
1770820780998,1,0.9444119930267334,-0.70049142837524414,-1.5399168729782104,189.51416015625,-75.74462890625,-161.0107421875
1770820780885,0,0.37240597605705261,-0.096767514944076538,1.7992339134216309,26.123046875,198.486328125,760.07080078125
1770820780906,0,0.48397824168205261,0.0047949850559234619,2.0865874290466309,24.5361328125,164.12353515625,740.234375
1770820780927,0,0.37973019480705261,-0.20321282744407654,2.0563139915466309,23.62060546875,138.97705078125,684.87548828125
1770820781018,1,0.8782498836517334,-0.47075507044792175,-1.6839598417282104,137.8173828125,-51.3916015625,-193.4814453125
1770820781039,1,0.8706815242767334,-0.38359686732292175,-1.6307371854782104,172.79052734375,-10.7421875,-209.716796875
1770820780947,0,-0.16348269581794739,-0.18563470244407654,1.8854155540466309,-55.23681640625,202.63671875,665.95458984375
1770820781060,1,0.8972928524017334,-0.14165350794792175,-1.9014891386032104,143.98193359375,11.04736328125,-262.5732421875
