arm,time_seconds,ax,ay,az,gx,gy,gz,mx,my,mz
arm1,300.25,-0.3464813232421875,-0.8818511962890625,0.31158447265625,0.01780855841934681,0.022878684103488922,-0.016886305063962936,55.69087219238281,90.88784790039062,-148.74366760253906
arm1,300.27,-0.3516845703125,-0.885040283203125,0.3120880126953125,0.021019265055656433,0.007595069240778685,-0.017536915838718414,55.490142822265625,90.90357971191406,-148.76620483398438
arm1,300.29,-0.359405517578125,-0.8875732421875,0.3101806640625,0.021815016865730286,-0.0002817624481394887,-0.023736221715807915,55.59271240234375,90.91545104980469,-148.70045471191406
arm1,300.31,-0.35784912109375,-0.8868560791015625,0.3109283447265625,0.020370785146951675,0.007184409536421299,-0.030948327854275703,55.69505310058594,90.92422485351562,-148.6399688720703
arm1,300.33,-0.35955810546875,-0.8847198486328125,0.31195068359375,0.023482689633965492,0.017139039933681488,-0.033906567841768265,55.69049072265625,90.71430969238281,-148.81495666503906
arm1,300.35,-0.36419677734375,-0.8844757080078125,0.312347412109375,0.02611016295850277,0.027107784524559975,-0.03732526674866676,55.789306640625,91.15180969238281,-148.86094665527344
arm1,300.37,-0.364166259765625,-0.881439208984375,0.3123016357421875,0.024171115830540657,0.0321400947868824,-0.03465305268764496,55.752655029296875,91.08380126953125,-148.8709259033203
arm1,300.39,-0.35931396484375,-0.8812103271484375,0.314788818359375,0.026258768513798714,0.03130306303501129,-0.030489997938275337,55.608551025390625,91.10549926757812,-148.6938934326172
arm1,300.41,-0.361724853515625,-0.881561279296875,0.3108367919921875,0.029923809692263603,0.018084993585944176,-0.021203288808465004,55.74810791015625,90.92103576660156,-148.5337677001953
arm1,300.43,-0.35797119140625,-0.8821868896484375,0.312896728515625,0.029286516830325127,0.017728131264448166,-0.012013252824544907,55.90620422363281,90.95643615722656,-148.53704833984375
arm1,300.447,-0.356414794921875,-0.8795166015625,0.3105621337890625,0.03351588174700737,0.00688933115452528,-0.004959871061146259,55.94932556152344,91.19831848144531,-148.473388671875
arm1,300.47,-0.3564453125,-0.8795623779296875,0.3125762939453125,0.031145136803388596,-0.0022682142443954945,0.004982774145901203,55.746978759765625,91.06816101074219,-148.4156951904297
arm1,300.49,-0.35791015625,-0.8779754638671875,0.31170654296875,0.03815457597374916,-0.009819340892136097,0.005636047571897507,55.83721923828125,91.04258728027344,-148.71087646484375
arm1,300.51,-0.3629608154296875,-0.8775177001953125,0.3105926513671875,0.043768785893917084,-0.011966381222009659,0.005598763469606638,55.84678649902344,91.06144714355469,-148.55078125
arm1,300.53,-0.360137939453125,-0.8707275390625,0.3159637451171875,0.04898671805858612,-0.022163359448313713,0.016919061541557312,55.62174987792969,90.97822570800781,-148.24034118652344
arm1,300.55,-0.3578948974609375,-0.86358642578125,0.311859130859375,0.05793121084570885,-0.044201016426086426,0.03566744923591614,55.87373352050781,90.96932983398438,-148.57640075683594
