timestamp,device,ax,ay,az,gx,gy,gz
1770820710123,1,-1.2286837100982666,-1.7520051002502441,-1.2777098417282104,-270.93505859375,-19.59228515625,-265.80810546875
1770820710027,0,-1.181304931640625,0.46915045380592346,-2.1177582740783691,234.68017578125,324.52392578125,-19.22607421875
1770820710144,1,-1.2465059757232666,-1.5879426002502441,-1.4796141386032104,-292.54150390625,57.861328125,-229.00390625
1770820710165,1,-1.3859102725982666,-1.7664093971252441,-1.3487547636032104,-298.2177734375,79.7119140625,-102.35595703125
1770820710065,0,-0.32241824269294739,0.83047854900360107,-1.9898285865783691,310.85205078125,404.78515625,111.083984375
1770820710186,1,-1.5514376163482666,-1.7688508033752441,-1.4517821073532104,-325.3173828125,76.96533203125,-47.30224609375
1770820710085,0,-0.92324835062026978,0.42251959443092346,-2.5166840553283691,423.33984375,342.8955078125,37.353515625
1770820710207,1,-1.5209200382232666,-1.5779328346252441,-1.3614500761032104,-356.87255859375,182.06787109375,-106.3232421875
1770820710106,0,-1.178375244140625,0.52017581462860107,-2.6109223365783691,434.5703125,347.35107421875,113.58642578125
1770820710127,0,-0.99478155374526978,0.63809573650360107,-2.3020844459533691,397.27783203125,364.990234375,150.57373046875
1770820710148,0,-0.64932256937026978,0.65152347087860107,-2.0205903053283691,360.595703125,435.24169921875,195.1904296875
1770820710245,1,-0.9247286319732666,-1.5737824440002441,-0.94592279195785522,-328.30810546875,214.599609375,-30.517578125
1770820710265,1,-0.9413301944732666,-1.2532258033752441,-0.81311029195785522,-323.6083984375,188.3544921875,13.48876953125
1770820710286,1,-0.8312227725982666,-1.1960968971252441,-0.80383294820785522,-332.6416015625,153.25927734375,3.662109375
1770820710169,0,-0.36563113331794739,0.53067386150360107,-1.6350922584533691,345.947265625,448.66943359375,195.12939453125
1770820710307,1,-0.4928438663482666,-1.2200226783752441,-0.80993646383285522,-336.5478515625,112.79296875,-34.3017578125
1770820710190,0,-0.54483038187026978,0.31753912568092346,-1.8133149147033691,356.93359375,435.9130859375,156.06689453125
1770820710211,0,-0.83047491312026978,0.52994143962860107,-1.8311371803283691,276.55029296875,443.66455078125,125.79345703125
1770820710328,1,-0.2931368350982666,-1.0855011940002441,-0.67321771383285522,-287.7197265625,54.87060546875,-45.71533203125
1770820710349,1,-0.15495322644710541,-0.83623361587524414,-0.40808099508285522,-207.3974609375,11.90185546875,-51.6357421875
1770820710232,0,-0.76016241312026978,0.52847659587860107,-1.4641938209533691,172.30224609375,448.8525390625,125.48828125
