cluster,clockwise,counter_clockwise,dragon_roll,idle,idle or ol?,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.0,0.1111111111111111,0.3888888888888889,0.018518518518518517,0.0,0.0,0.16666666666666666,0.037037037037037035,0.2222222222222222,0.0,0.018518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
1,0.0,0.5841584158415841,0.12871287128712872,0.039603960396039604,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0297029702970297,0.0,0.0297029702970297,0.0,0.1188118811881188,0.0594059405940594,0.0,0.0
2,0.18181818181818182,0.0,0.02727272727272727,0.0,0.0,0.0,0.2545454545454545,0.0,0.02727272727272727,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.43636363636363634,0.0,0.0
3,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
4,0.0,0.325,0.016666666666666666,0.0,0.0,0.008333333333333333,0.21666666666666667,0.10833333333333334,0.008333333333333333,0.0,0.0,0.025,0.03333333333333333,0.23333333333333334,0.008333333333333333,0.016666666666666666,0.0,0.0
5,0.03614457831325301,0.0,0.4457831325301205,0.0,0.0,0.0,0.21686746987951808,0.1686746987951807,0.012048192771084338,0.0,0.012048192771084338,0.0,0.024096385542168676,0.0,0.0,0.08433734939759036,0.0,0.0
6,0.147239263803681,0.05521472392638037,0.06748466257668712,0.3006134969325153,0.006134969325153374,0.0,0.018404907975460124,0.018404907975460124,0.024539877300613498,0.0,0.0,0.05521472392638037,0.006134969325153374,0.0,0.018404907975460124,0.26993865030674846,0.006134969325153374,0.006134969325153374
7,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.6193548387096774,0.0,0.0,0.0,0.04516129032258064,0.012903225806451613,0.0,0.0,0.0,0.0,0.0,0.0
8,0.014814814814814815,0.43703703703703706,0.1259259259259259,0.0,0.0,0.0,0.022222222222222223,0.007407407407407408,0.007407407407407408,0.0,0.0,0.022222222222222223,0.1111111111111111,0.02962962962962963,0.0,0.2222222222222222,0.0,0.0
9,0.25301204819277107,0.006024096385542169,0.1746987951807229,0.0,0.0,0.0,0.12650602409638553,0.08433734939759036,0.018072289156626505,0.0,0.0,0.030120481927710843,0.0,0.06626506024096386,0.0,0.21084337349397592,0.030120481927710843,0.0
10,0.27586206896551724,0.034482758620689655,0.3218390804597701,0.0,0.0,0.0,0.16091954022988506,0.0,0.0,0.0,0.0,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.0,0.1724137931034483,0.0,0.0
11,0.30337078651685395,0.0,0.02247191011235955,0.0,0.0,0.0,0.1348314606741573,0.10112359550561797,0.02247191011235955,0.2696629213483146,0.0,0.0,0.0,0.1348314606741573,0.0,0.0,0.0,0.011235955056179775
12,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.010101010101010102,0.15151515151515152,0.7373737373737373,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
