cluster,label,count,cluster_total,p_label_given_cluster
0,dragon_roll,21,54,0.3888888888888889
0,sneak_overhand,12,54,0.2222222222222222
0,overhand_left,9,54,0.16666666666666666
0,counter_clockwise,6,54,0.1111111111111111
0,overhand_right,2,54,0.037037037037037035
0,underhand_left,2,54,0.037037037037037035
0,idle,1,54,0.018518518518518517
0,sneak_overhand_right,1,54,0.018518518518518517
1,counter_clockwise,59,101,0.5841584158415841
1,dragon_roll,13,101,0.12871287128712872
1,underhand_left,12,101,0.1188118811881188
1,underhand_right,6,101,0.0594059405940594
1,idle,4,101,0.039603960396039604
1,sneak_overhand_right,3,101,0.0297029702970297
1,sneak_underhand_left,3,101,0.0297029702970297
1,overhand_left,1,101,0.009900990099009901
2,underhand_right,48,110,0.43636363636363634
2,overhand_left,28,110,0.2545454545454545
2,clockwise,20,110,0.18181818181818182
2,sneak_underhand,8,110,0.07272727272727272
2,dragon_roll,3,110,0.02727272727272727
2,sneak_overhand,3,110,0.02727272727272727
3,underhand_right,2,3,0.6666666666666666
3,dragon_roll,1,3,0.3333333333333333
4,counter_clockwise,39,120,0.325
4,sneak_underhand_right,28,120,0.23333333333333334
4,overhand_left,26,120,0.21666666666666667
4,overhand_right,13,120,0.10833333333333334
4,sneak_underhand_left,4,120,0.03333333333333333
4,sneak_underhand,3,120,0.025
4,dragon_roll,2,120,0.016666666666666666
4,underhand_right,2,120,0.016666666666666666
4,or osl,1,120,0.008333333333333333
4,sneak_overhand,1,120,0.008333333333333333
4,underhand_left,1,120,0.008333333333333333
5,dragon_roll,37,83,0.4457831325301205
5,overhand_left,18,83,0.21686746987951808
5,overhand_right,14,83,0.1686746987951807
5,underhand_right,7,83,0.08433734939759036
5,clockwise,3,83,0.03614457831325301
5,sneak_underhand_left,2,83,0.024096385542168676
5,sneak_overhand,1,83,0.012048192771084338
5,sneak_overhand_right,1,83,0.012048192771084338
6,idle,49,163,0.3006134969325153
6,underhand_right,44,163,0.26993865030674846
6,clockwise,24,163,0.147239263803681
6,dragon_roll,11,163,0.06748466257668712
6,counter_clockwise,9,163,0.05521472392638037
6,sneak_underhand,9,163,0.05521472392638037
6,sneak_overhand,4,163,0.024539877300613498
6,overhand_left,3,163,0.018404907975460124
6,overhand_right,3,163,0.018404907975460124
6,underhand_left,3,163,0.018404907975460124
6,idle or ol?,1,163,0.006134969325153374
6,sneak_underhand_left,1,163,0.006134969325153374
6,ur cw,1,163,0.006134969325153374
6,vq,1,163,0.006134969325153374
7,overhand_left,96,155,0.6193548387096774
7,counter_clockwise,50,155,0.3225806451612903
7,sneak_overhand_right,7,155,0.04516129032258064
7,sneak_underhand,2,155,0.012903225806451613
8,counter_clockwise,59,135,0.43703703703703706
8,underhand_right,30,135,0.2222222222222222
8,dragon_roll,17,135,0.1259259259259259
8,sneak_underhand_left,15,135,0.1111111111111111
8,sneak_underhand_right,4,135,0.02962962962962963
8,overhand_left,3,135,0.022222222222222223
8,sneak_underhand,3,135,0.022222222222222223
8,clockwise,2,135,0.014814814814814815
8,overhand_right,1,135,0.007407407407407408
8,sneak_overhand,1,135,0.007407407407407408
9,clockwise,42,166,0.25301204819277107
9,underhand_right,35,166,0.21084337349397592
9,dragon_roll,29,166,0.1746987951807229
9,overhand_left,21,166,0.12650602409638553
9,overhand_right,14,166,0.08433734939759036
9,sneak_underhand_right,11,166,0.06626506024096386
9,sneak_underhand,5,166,0.030120481927710843
9,ur cw,5,166,0.030120481927710843
9,sneak_overhand,3,166,0.018072289156626505
9,counter_clockwise,1,166,0.006024096385542169
10,dragon_roll,28,87,0.3218390804597701
10,clockwise,24,87,0.27586206896551724
10,underhand_right,15,87,0.1724137931034483
10,overhand_left,14,87,0.16091954022988506
10,counter_clockwise,3,87,0.034482758620689655
10,sneak_underhand,1,87,0.011494252873563218
10,sneak_underhand_left,1,87,0.011494252873563218
10,sneak_underhand_right,1,87,0.011494252873563218
11,clockwise,27,89,0.30337078651685395
11,sneak_overhand_left,24,89,0.2696629213483146
11,overhand_left,12,89,0.1348314606741573
11,sneak_underhand_right,12,89,0.1348314606741573
11,overhand_right,9,89,0.10112359550561797
11,dragon_roll,2,89,0.02247191011235955
11,sneak_overhand,2,89,0.02247191011235955
11,vq,1,89,0.011235955056179775
12,sneak_overhand_left,73,99,0.7373737373737373
12,sneak_overhand,15,99,0.15151515151515152
12,dragon_roll,5,99,0.050505050505050504
12,sneak_overhand_right,5,99,0.050505050505050504
12,overhand_right,1,99,0.010101010101010102
