cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,3,5,3,6,5,0,16,51,16,26,10,6,8,10,11,14,0,0,28,49,10,1,0,19,36,13,17,11,10,8,5,29,23,17,1,0,4,2,0,3,1,0,14,10,1,0,0,0,0,3,20260302_173754_experimental_free
1,7,4,1,6,7,10,14,12,15,16,27,4,2,6,13,10,17,11,0,1,18,0,4,12,0,16,8,6,8,21,8,20,8,2,0,3,19,13,1,3,8,0,52,34,4,1,2,2,0,10,20260406_211811_experimental_jo div
2,0,2,0,1,0,0,9,20,3,13,6,14,2,0,3,0,2,0,1,32,0,1,0,0,0,14,20,10,2,1,4,2,22,1,14,14,0,2,0,0,9,13,30,22,0,0,0,0,0,0,20260303_175338_overhand_jo
3,1,0,0,0,0,0,0,1,1,10,5,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,2,0,1,0,0,0,0,0,6,2,0,0,1,33,28,42,37,78,55,Les_Lanciers_2026-02-11_16-39-40
4,2,7,3,1,0,1,8,30,3,23,6,2,4,12,2,4,0,1,1,20,6,1,42,1,0,19,12,3,3,2,6,3,17,6,15,11,7,2,0,6,12,10,30,27,1,1,0,0,0,0,20260303_180712_sneak_underhand_jo
5,3,5,1,2,2,0,9,37,9,31,8,9,5,21,7,1,0,0,43,46,0,51,0,4,2,25,20,21,6,4,2,19,22,9,0,0,13,10,1,17,0,0,18,13,0,0,0,0,0,0,20260303_175703_dragon_roll_jo
6,21,33,7,23,16,37,38,33,34,34,21,7,15,29,16,12,22,8,22,13,1,8,5,7,3,45,25,20,5,12,13,14,12,17,20,10,6,10,8,9,17,10,37,33,0,0,0,1,0,0,20260315_150630_experimental_jo
7,0,1,5,2,2,1,3,7,0,6,5,4,1,3,1,1,0,1,2,16,2,0,1,0,3,18,20,22,0,0,13,2,34,1,18,22,3,3,0,5,17,11,41,29,1,0,0,0,0,0,20260406_211811_experimental_jo div
8,2,6,0,5,3,31,16,25,5,24,9,14,13,16,2,3,31,16,0,0,5,0,15,0,0,20,27,10,3,3,15,4,16,3,18,13,9,14,0,12,14,6,20,25,0,3,2,0,0,1,20260302_100832_underhand_default
9,1,2,1,1,0,1,7,27,1,19,1,6,7,6,0,0,2,0,1,16,0,0,36,0,0,12,5,2,1,1,16,0,23,0,15,21,9,7,1,6,12,10,60,57,0,0,0,0,0,0,20260406_211811_experimental_jo div
10,6,9,1,4,3,22,15,24,11,23,12,4,5,19,3,0,31,19,6,2,0,51,22,0,1,7,11,11,4,3,12,9,11,0,14,15,3,3,0,10,4,8,32,22,0,0,0,0,0,3,20260303_175703_dragon_roll_jo
11,3,7,0,2,0,0,2,6,3,8,1,1,2,7,1,0,0,0,6,2,9,0,1,0,0,7,14,5,0,0,5,6,13,0,0,0,16,13,1,14,2,0,37,38,0,0,0,0,0,0,20260406_212408_experimental_jo div
12,0,0,0,0,0,0,0,32,2,16,1,0,4,10,1,0,0,0,0,2,3,3,0,5,51,10,16,11,0,0,5,7,16,0,0,0,19,13,1,0,0,0,43,41,0,0,0,0,0,0,20260303_182528_sneak_overhand_jo
