cluster,rank,cycle_index,dist_to_centroid,session_id,t_mid_s,label,label_json
0,1,1841,17.37417221069336,20260316_171550_experimental_jo,56.40226186568167,overhand,..\..\data\raw\new-labeled-sessions\20260316_171550_experimental_jo\labels_corrected.json
0,2,1958,17.791671752929688,20260405_173949_experimental_progression,35.613336970858484,overhand,..\..\data\raw\new-labeled-sessions\20260405_173949_experimental_progression\labels_corrected.json
0,3,2258,18.003496170043945,20260405_185509_experimental_bass-walk-down,36.5765348277406,OL,..\..\data\raw\new-labeled-sessions\20260405_185509_experimental_bass-walk-down\labels_corrected.json
0,4,1953,18.205862045288086,20260405_173949_experimental_progression,26.56249096481211,overhand,..\..\data\raw\new-labeled-sessions\20260405_173949_experimental_progression\labels_corrected.json
0,5,2544,18.400447845458984,20260406_212408_experimental_jo div,240.62959956040226,CCW,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
1,1,2581,18.50701141357422,20260406_212408_experimental_jo div,311.0724087928744,OR3,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
1,2,1395,19.909523010253906,20260315_150630_experimental_jo,78.56272075507863,CW,..\..\data\raw\new-labeled-sessions\20260315_150630_experimental_jo\labels_corrected.json
1,3,1386,19.965612411499023,20260315_150630_experimental_jo,66.57230553350199,OR3,..\..\data\raw\new-labeled-sessions\20260315_150630_experimental_jo\labels_corrected.json
1,4,1840,20.394834518432617,20260316_171550_experimental_jo,55.48222523670722,overhand,..\..\data\raw\new-labeled-sessions\20260316_171550_experimental_jo\labels_corrected.json
1,5,1466,20.411354064941406,20260315_150630_experimental_jo,193.19669004353975,OR3,..\..\data\raw\new-labeled-sessions\20260315_150630_experimental_jo\labels_corrected.json
2,1,2193,18.369464874267578,20260405_185331_experimental_birth-death,20.693349288495007,UL0,..\..\data\raw\new-labeled-sessions\20260405_185331_experimental_birth-death\labels_corrected.json
2,2,2509,18.725255966186523,20260406_212408_experimental_jo div,164.66656942814234,CCW,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
2,3,2578,18.851449966430664,20260406_212408_experimental_jo div,305.9722062447113,CCW,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
2,4,2572,19.027904510498047,20260406_212408_experimental_jo div,293.0916924079513,CCW,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
2,5,2523,19.051498413085938,20260406_212408_experimental_jo div,189.82757270914502,CCW,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
3,1,1393,21.044296264648438,20260315_150630_experimental_jo,76.50264863242953,CCW,..\..\data\raw\new-labeled-sessions\20260315_150630_experimental_jo\labels_corrected.json
3,2,1462,21.047945022583008,20260315_150630_experimental_jo,184.32638196573157,OL2,..\..\data\raw\new-labeled-sessions\20260315_150630_experimental_jo\labels_corrected.json
3,3,2189,21.82097816467285,20260405_185331_experimental_birth-death,12.822075829031565,CCW,..\..\data\raw\new-labeled-sessions\20260405_185331_experimental_birth-death\labels_corrected.json
3,4,2276,22.14517593383789,20260405_185509_experimental_bass-walk-down,56.24001753810644,FB,..\..\data\raw\new-labeled-sessions\20260405_185509_experimental_bass-walk-down\labels_corrected.json
3,5,2501,22.313949584960938,20260406_212408_experimental_jo div,141.02562621623252,USR,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
4,1,2515,18.09781837463379,20260406_212408_experimental_jo div,180.46719895780586,OSL,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
4,2,2582,18.478517532348633,20260406_212408_experimental_jo div,313.95252391606175,OSL,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
4,3,2447,18.478927612304688,20260406_212408_experimental_jo div,7.050280740791511,OSL,..\..\data\raw\new-labeled-sessions\20260406_212408_experimental_jo div\labels_corrected.json
