cluster,bf2,clockwise,counter_clockwise,dragon_roll,idle,or osl,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right,ur cw,vq
0,0.0,0.0,0.34513274336283184,0.0,0.0,0.0,0.6460176991150443,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.35294117647058826,0.38235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0
2,0.0,0.016666666666666666,0.5,0.016666666666666666,0.03333333333333333,0.0,0.13333333333333333,0.08333333333333333,0.0,0.1,0.0,0.0,0.0,0.05,0.016666666666666666,0.05,0.0,0.0
3,0.0,0.0,0.2,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.3333333333333333,0.0,0.0
4,0.04054054054054054,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.14864864864864866,0.7432432432432432,0.02702702702702703,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0
5,0.0,0.2807017543859649,0.0,0.15789473684210525,0.0,0.0,0.17543859649122806,0.07017543859649122,0.0,0.0,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.14035087719298245,0.0,0.03508771929824561,0.017543859649122806,0.017543859649122806
6,0.0,0.028169014084507043,0.5633802816901409,0.014084507042253521,0.028169014084507043,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.323943661971831,0.0,0.0
7,0.0136986301369863,0.2876712328767123,0.0,0.0136986301369863,0.0,0.0,0.0684931506849315,0.0,0.0136986301369863,0.0,0.0,0.0,0.0273972602739726,0.1232876712328767,0.0,0.4520547945205479,0.0,0.0
8,0.017543859649122806,0.3684210526315789,0.10526315789473684,0.0,0.017543859649122806,0.0,0.08771929824561403,0.0,0.017543859649122806,0.017543859649122806,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.3333333333333333,0.0,0.0
9,0.0,0.34782608695652173,0.043478260869565216,0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0
10,0.11363636363636363,0.0,0.13636363636363635,0.20454545454545456,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.06818181818181818,0.38636363636363635,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0
11,0.07407407407407407,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.0
