timestamp,qw,qx,qy,qz,ax_w,ay_w,az_w,vx,vy,vz,px,py,pz
0.0,0.9999550628797138,-0.0020871529299823313,0.005882442115666986,-0.007135326806147251,2.5892263575583367,-3.820450829250788,1.7042468102972763,-1.0933886262742374,-0.48831855149965436,-1.8639936727972561,-0.021867772525484747,-0.009766371029993087,-0.03727987345594513
0.0200039911308204,0.9998461776012922,-0.005615681818979149,0.011718388769018158,-0.01177983949175273,2.9802923954973295,-3.0612489773352105,1.0337036722916664,-1.0434353540405639,-0.5522838679944908,-1.8324677966347944,-0.04273647960629603,-0.020812048389882903,-0.07392922938864102
0.0400079822616408,0.9996628754407693,-0.011172303574543695,0.01785133716216213,-0.01518699640659824,3.198668697663556,-2.4282262401028016,0.373372792218456,-0.9891379385588663,-0.6036075634996954,-1.8139791542707213,-0.06251923837747336,-0.03288419965987681,-0.11020881247405545
0.0600119733924612,0.999357724368341,-0.01883875435254679,0.02422011154094682,-0.018510166847423376,3.101988539566637,-2.1175598344464537,0.008626051106953435,-0.9367973383682862,-0.64873682046497,-1.8026149874566262,-0.08125518514483908,-0.045858936069176216,-0.14626111222318797
0.0800159645232816,0.9989240330258617,-0.027674639632292657,0.03022457451104988,-0.021710957146007338,2.74017441152032,-2.1744409365688755,0.15552888209174467,-0.8917160606586251,-0.6950226439280485,-1.7881412264490693,-0.09908950635801159,-0.059759388947737184,-0.18202393675216935
0.10001995565410199,0.9984278538564677,-0.03621500730590786,0.03554705343028187,-0.02380548007971192,2.383211345848337,-2.3069012387169834,0.4853031144467463,-0.8537969105080191,-0.7439766717601708,-1.7668993621114208,-0.11616544456817197,-0.07463892238294059,-0.21736192399439777
0.1200239467849224,0.9979565733720406,-0.043129963595672095,0.04063733166970817,-0.023897514066054157,2.2610518618564033,-2.132494854772744,0.3616259351957726,-0.8183436412135581,-0.7894616230256438,-1.7479573387836735,-0.13253231739244314,-0.09042815484345347,-0.2523210707700712
0.14002793791574278,0.9975503440385102,-0.04782607922180218,0.046104909577711156,-0.02191608011828213,2.354107072687603,-1.59584497421272,-0.41079997390724976,-0.7810517824768113,-0.8242326794215803,-1.744289044414739,-0.14815335304197935,-0.10691280843188508,-0.287206851658366
0.1600319290465632,0.9971783140158449,-0.05088283758341355,0.05197119876326001,-0.018583363395433834,2.489628986797516,-1.0029994331498289,-1.3464811713438212,-0.7410718225558905,-0.847165978144676,-1.759158495387896,-0.16297478949309718,-0.1238561279947786,-0.32239002156612395
0.1800359201773836,0.9967859910975158,-0.05351397520324832,0.05775270479937996,-0.014784028478223174,2.5012628522325144,-0.6504900154631773,-1.8733989870669627,-0.7008813435324299,-0.8630682907932347,-1.7843893319535624,-0.17699241636374577,-0.1411174938106433,-0.3580778082051952
0.20003991130820398,0.996372966529364,-0.05622051922212779,0.06293902517582066,-0.010901554833457066,2.2482878093231755,-0.5338931434927359,-1.940717870455119,-0.6657723435263332,-0.8766579160974837,-1.8107884805999848,-0.19030786323427243,-0.15865065213259297,-0.3942935778171949
0.22004390243902439,0.9960099715184618,-0.05834946584619947,0.0671879831518793,-0.006726915432727268,1.6778480828721714,-0.42806192123771486,-1.8992815293178475,-0.642093935065017,-0.8881502135247263,-1.8361797391889185,-0.20314974193557278,-0.17641365640308748,-0.4310171726009733
0.2400478935698448,0.9957605332507332,-0.05919711936978088,0.07037642837832037,-0.001954432717324341,0.969809085588798,-0.1518580251641721,-1.9697048729744753,-0.6325979213755057,-0.8941377747072455,-1.8627992009466277,-0.21580170036308288,-0.19429641189723237,-0.4682731566199058
0.2600518847006652,0.995606097624737,-0.05901236406526079,0.07262952600809075,0.003315299641359964,0.4457697188983896,0.2857240443925174,-2.050733892758815,-0.6336041266451451,-0.891393079904063,-1.8908578760634858,-0.2284737828959858,-0.21212427349531365,-0.5060903141411756
0.28005587583148556,0.9954881788986638,-0.05860679896829562,0.07413702043645695,0.008498881603849191,0.22468040271294037,0.7312421956036135,-1.9811398861487306,-0.6390533656691424,-0.8797574498237084,-1.91734219777532,-0.24125485020936865,-0.2297194224917878,-0.5444371580966819
0.30005986696230597,0.9953866371744923,-0.05847753455560676,0.07497224814819957,0.012844551154414687,0.10776766070327076,1.0187144781325643,-1.7665370979741846,-0.6468619217779263,-0.862391842798753,-1.9393508812687466,-0.25419208864492715,-0.24696725934776287,-0.5832241757220569
