timestamp_ms,qw,qx,qy,qz,ax_w,ay_w,az_w,gx,gy,gz
0.0,0.7265274880915888,0.3783993893174729,0.5733904846824801,0.013966505900914809,-0.7336493262444527,-6.688046150305166,14.066595642082927,-72.15831941623514,363.1736345244196,-20.10073883935343
20.00550696469064,0.712404675246718,0.37225666976989513,0.5942515894330558,0.027741646575729,1.3908350403435366,-6.762096036220966,13.092585124464236,-81.25445367645925,320.8753383745063,-7.503376604032876
40.01101392938128,0.6995133289379786,0.36581572296612846,0.6124556231037983,0.0419293357616664,3.352956210640227,-6.822937755917706,12.350989205214855,-92.5781789745541,293.0345156094029,5.062661389335173
60.01652089407192,0.6869808656059081,0.35879287134661847,0.6293009632113913,0.057491420781030145,5.061741346841063,-6.884545759989744,11.979765855112024,-109.18547268818124,285.88559364663416,17.250119837499163
80.02202785876256,0.6741589153053894,0.35065785884125833,0.6456531379012626,0.07537140349879697,6.518545952429314,-6.9893006083007885,11.954726362961782,-134.04585170699727,294.39768466007155,28.889699027551888
100.0275348234532,0.6611101595705431,0.3407425429568417,0.661523833766837,0.09599007079038074,7.7808748912792955,-7.174012244723867,12.084206049224893,-167.34300961756,305.8954851194593,40.60197851250203
120.03304178814383,0.649122895328683,0.3289128853382256,0.6753524352331796,0.1198118059425072,8.890939349265599,-7.4275972571275934,12.071256657429924,-204.18900827855447,307.9136761778978,54.00444829752513
140.0385487528345,0.6378730083864859,0.31617366851521317,0.686896208892706,0.14603367665861955,9.816849119296577,-7.675490954030473,11.625344554161815,-235.19486295084286,295.43249504600146,70.8263488469776
160.0440557175251,0.6273725813717744,0.303760758532357,0.695711371305399,0.17354749653949147,10.44792034023891,-7.808535297918043,10.582138636489322,-250.29390099409324,273.4292790825077,91.29371666508797
180.04956268221576,0.6168825395648462,0.29301863932588307,0.7022313243021794,0.20116455094385208,10.65242230461218,-7.742180640641784,8.98157000944492,-243.69306436425146,253.5717342950478,113.12508745448648
200.0550696469064,0.605136842127769,0.28471969171875505,0.7076960174971411,0.2278386408533348,10.36635314285208,-7.468522314017777,7.0682311060807095,-216.9485864262568,247.11790977716254,132.11469825024764
220.06057661159704,0.5909196512966417,0.2787444380274325,0.7135557374286504,0.2528907146632343,9.659964390610115,-7.0657643814073365,5.210220364654911,-178.3610934415454,258.23407154380345,143.90809119575692
240.06608357628767,0.5736316331476551,0.27425046139975695,0.7207678833610319,0.2760925427997514,8.738530208364672,-6.656225447498321,3.7680768962498883,-139.12825088498985,281.7283466076735,145.64164855325043
260.07159054097826,0.5533954457827681,0.27022014439183956,0.7295235371697624,0.29753985088902485,7.870085117335443,-6.337434851924626,2.9670228278988224,-108.57605740449307,306.2869002951662,136.44528854291192
280.077097505669,0.5313541141426288,0.265397862913993,0.7394288015546171,0.31697291236932285,7.274792212952372,-6.129105915415214,2.823016548087016,-91.14805111644829,320.63326936165436,116.91123044507184
300.0826044703596,0.5095553328430277,0.25877379537038253,0.7493686711963294,0.33441901894223375,7.034424145664758,-5.96962371176363,3.1487557060552507,-86.38551026767266,318.62633601081933,88.39053434579195
320.0881114350502,0.48998049930399057,0.2497267235988423,0.7583008459466348,0.3500507118390387,7.072647349353629,-5.764498210560433,3.633068410780017,-91.03832412241623,300.97363357590217,52.70493759906724
340.0936183997408,0.4736495180794654,0.2378987015218772,0.7660325796227772,0.36366802003168863,7.221038778289475,-5.455331742339114,3.9614094443182846,-101.4693565074559,273.8315253761982,11.958874738541734
360.09912536443153,0.46060948591454814,0.22323068706748728,0.7726592366795733,0.3755058798616243,7.340220812227009,-5.06253110351844,3.9350949574886616,-115.1910127308925,245.84184604961686,-32.22785218111032
380.1046323291222,0.45056345759273664,0.20524282154319676,0.7784446658977167,0.38586507618914956,7.433373071259759,-4.66872145069956,3.5517676460704455,-131.4851062710258,224.9536578314604,-79.93858249857638
400.1101392938128,0.442996849736051,0.18302003651099438,0.7837158093676626,0.395027831306401,7.687669072992978,-4.346002490572863,3.0232291815039334,-151.26921167653774,215.84132610968223,-133.3551742671077
420.1156462585034,0.4374574116409518,0.15535988190641156,0.7886283987232775,0.40318676667468123,8.410742720819481,-4.068564059651861,2.7235448371387023,-175.90832355833737,218.5044054256032,-195.05747249478287
440.1211532231941,0.4336937905530607,0.12124047986125017,0.792987313650385,0.4103432252009015,9.880940607802325,-3.6695513270565727,3.0778782816820685,-204.84614306035576,228.42767501429117,-264.4813322437578
460.12666018788474,0.43154483125930765,0.08059169893713508,0.796253808229508,0.41623780409257394,12.177508953889722,-2.884071958334576,4.42002909206634,-233.20607476919233,238.15285484331923,-334.6315431699051
480.13216715257533,0.43076607296662217,0.035032581946158936,0.79778529163267,0.42041876389818317,15.075002727009641,-1.4741329359063882,6.86105071634479,-251.60529253148152,239.5570577865664,-391.7332605427499
500.13767411726593,0.4310502606911114,-0.011954858677981038,0.7972382556743378,0.4224498997531585,18.062396496897463,0.6201952455786507,10.215854696337956,-249.62698251338827,226.02956949156965,-419.18949602506507
520.1431810819565,0.4321853297085403,-0.05566387877667465,0.7948799986625873,0.42223590694115687,20.49036721509722,3.185030978516412,14.022234738370855,-221.64481826392486,194.0635229600662,-404.58429139013765
540.1486880466473,0.43419176304262974,-0.09146100598698625,0.7914947225261992,0.4202957310072949,21.788395878573507,5.7546919580580065,17.656346120442798,-171.15494058162577,144.11904794931687,-346.09041765974143
560.154195011338,0.4372765982429203,-0.11615553434646214,0.7879084726321239,0.4177287483814122,21.659856611779613,7.755690485703627,20.510111848491693,-110.0613000432376,80.75463533286151,-254.31203831419327
580.1597019760285,0.4416025252258842,-0.12875958969614829,0.784533432414286,0.4158310608885066,20.175852307087155,8.711907869362728,22.16706822409336,-52.84529516054866,12.040988971058779,-148.0523784211847
600.1652089407193,0.44702577668559645,-0.13034861604962766,0.7813233069671036,0.415585229841696,17.738199217678275,8.416630770239957,22.509921925624006,-9.494723445559238,-51.77958160511124,-46.34848505717463
620.1707159054098,0.4529496608067843,-0.12325816158731605,0.7781231939555537,0.41733478815639363,14.939543491495693,6.994897180362242,21.719765886106668,18.013082718055074,-100.47707028271712,38.50524620108015
640.1762228701004,0.4583641563108219,-0.11013465923185067,0.7750369729917536,0.4208210398033023,12.38442359420683,4.836754869132939,20.17234592794915,33.82888162861403,-126.68054118744645,103.24015905100163
660.1817298347911,0.46208299734168523,-0.0932800591760917,0.7724756342943685,0.42551090297352234,10.536356537500886,2.4439899263218186,18.280030514251173,43.30488338078253,-128.45072433402592,150.98841743245129
680.1872367994816,0.46311196324750165,-0.07442861235400194,0.7708885825169177,0.4309506752578071,9.630589921929145,0.2657112299326697,16.348997878177336,49.284563611986265,-110.07076441164764,186.57190837743357
700.1927437641724,0.4609830547890337,-0.054808425096406856,0.770468035824525,0.4368863301918712,9.659185409847526,-1.4110392694189329,14.509866992538333,52.18958125581341,-80.17320136991613,212.9952939620499
720.1982507288631,0.45586460372731546,-0.03524377585671179,0.7711125971822279,0.44309220462425053,10.411603304518625,-2.4883346238071176,12.742040116407905,53.000986941052105,-48.018064706495025,230.68077892702323
740.2037576935536,0.448387576416236,-0.016171540938441996,0.772668197938244,0.4490778534665419,11.546413131091157,-3.0172310479707836,10.966004362960842,55.90037437283737,-20.01021408258548,238.8358607957244
760.2092646582444,0.4393209590068513,0.002346454747508387,0.7752135979074126,0.453911298324753,12.674026371302945,-3.129487171375379,9.14680880414419,67.77025866357008,1.7906154420913254,237.24538884762833
780.2147716229349,0.4292722525000333,0.02048500515607092,0.7791495207805959,0.45632414144407396,13.437641389853328,-2.978383784499685,7.351503818726347,94.31992138491081,18.89700578283192,227.02883002659638
800.2202785876256,0.4185384665612894,0.03837745945561542,0.7849975700445384,0.4551170592698402,13.583379077960428,-2.706684764368402,5.732838086501651,135.35514868355452,34.36837449463433,210.00236886074805
820.2257855523162,0.40715840145170407,0.055796094228428884,0.7930339019175767,0.44967328406914364,13.01014389698488,-2.438147478254094,4.453958792570571,182.77070553472765,50.89068145433775,187.4302808138842
840.2312925170068,0.39508928652710534,0.07196793471314432,0.8030397360076412,0.44028655945577655,11.788881728723911,-2.2768746256992562,3.60049703497153,223.3782367135887,69.91363503147912,159.40858084494087
